t,count
1732997351,79214
1732997356,79214
1732997361,79214
1732997366,79214
1732997371,79214
1732997376,79214
1732997381,79214
1732997386,79214
1732997391,79214
1732997396,79214
1732997401,79214
1732997406,79214
1732997411,79214
1732997416,79214
1732997421,79214
1732997426,79214
1732997431,79214
1732997436,79214
1732997441,79214
1732997446,79214
1732997451,79214
1732997456,79214
1733002260,79214
1733002265,79214
1733002270,79214
1733002275,79214
1733002280,79214
1733002285,79214
1733002290,79214
1733002295,79214
1733002300,79214
1733002305,79214
1733002310,79214
1733002315,79214
1733002320,79214
1733002325,79214
1733002330,79214
1733002335,79214
1733002340,79214
1733002345,79214
1733002350,79214
1733002355,79214
1733002360,79214
1733002365,79214
1733002370,79214
1733002375,79214
1733002380,79214
1733002385,79214
1733002390,79214
1733002395,79214
1733002400,79214
1733002405,79214
1733002410,79214
1733002415,79214
1733002420,79214
1733002425,79214
1733002430,79214
1733002435,79214
1733002440,79214
1733002445,79214
1733002450,79214
1733002455,79214
1733002460,79214
1733002465,79214
1733002470,79214
1733002475,79214
1733002480,79214
1733002485,79214
1733002490,79214
1733002495,79214
1733002500,79214
1733002505,79214
1733002510,79214
1733002515,79214
1733002520,79214
1733002525,79214
1733002530,79214
1733002535,79214
1733002540,79214
1733002545,79214
1733002550,79214
1733002555,79214
1733002560,79214
1733002565,79214
1733002570,79214
1733002575,79214
1733002580,79214
1733002585,79214
1733002590,79214
1733002595,79214
1733002600,79214
1733002605,79214
1733002610,79214
1733002615,79214
1733002620,79214
1733002625,79214
1733002630,79214
1733002635,79214
1733002640,79214
1733002645,79214
1733002650,79214
1733002655,79214
1733002660,79214
1733002665,79214
1733002670,79214
1733002675,79214
1733002680,79214
1733002685,79214
1733002690,79214
1733002695,79214
1733002700,79214
1733002705,79214
1733002710,79214
1733002715,79214
1733002720,79214
1733002725,79214
1733002730,79214
1733002735,79214
1733002740,79214
1733002745,79214
1733002750,79214
1733002755,79214
1733002760,79214
1733002765,79214
1733002770,79214
1733002775,79214
1733002780,79214
1733002785,79214
1733002790,79214
1733002795,79214
1733002800,79214
1733002805,79214
1733002810,79214
1733002815,79214
1733002820,79214
1733002825,79214
1733002830,79214
1733002835,79214
1733002840,79214
1733002845,79214
1733002850,79214
1733002855,79214
1733002860,79214
1733002865,79214
1733002870,79214
1733002875,79214
1733002880,79214
1733002885,79214
1733002890,79214
1733002895,79214
1733002900,79214
1733002905,79214
1733002910,79214
1733002915,79214
1733002920,79214
1733002925,79214
1733002930,79214
1733002935,79214
1733002940,79214
1733002945,79214
1733002950,79214
1733002955,79214
1733002960,79214
1733002965,79214
1733002970,79214
1733002975,79214
1733002980,79214
1733002985,79214
1733002990,79214
1733002995,79214
1733003000,79214
1733003005,79214
1733003010,79214
1733003015,79214
1733003020,79214
1733003025,79214
1733003030,79214
1733003035,79214
1733003040,79214
1733003045,79214
1733003050,79214
1733003055,79214
1733003060,79214
1733003065,79214
1733003070,79214
1733003075,79214
1733003080,79214
1733003085,79214
1733003090,79214
1733003095,79214
1733003100,79214
1733003105,79214
1733003110,79214
1733003115,79214
1733003120,79214
1733003125,79214
1733003130,79214
1733003135,79214
1733003140,79214
1733003145,79214
1733003150,79214
1733003155,79214
1733003160,79214
1733003165,79214
1733003170,79214
1733003175,79214
1733003180,79214
1733003185,79214
1733003190,79214
1733003195,79214
1733003200,79214
1733003205,79214
1733003210,79214
1733003215,79214
1733003220,79214
1733003225,79214
1733003230,79214
1733003235,79214
1733003240,79214
1733003245,79214
1733003250,79214
1733003255,79214
1733003260,79214
1733003265,79214
1733003270,79214
1733003275,79214
1733003280,79214
1733003285,79214
1733003290,79214
1733003295,79214
1733003300,79214
1733003305,79214
1733003310,79214
1733003315,79214
1733003320,79214
1733003325,79214
1733003330,79214
1733003335,79214
1733003340,79214
1733003345,79214
1733003350,79214
1733003355,79214
1733003360,79214
1733003365,79214
1733003370,79214
1733003375,79214
1733003380,79214
1733003385,79214
1733003390,79214
1733003395,79214
1733003400,79214
1733003405,79214
1733003410,79214
1733003415,79214
1733003420,79214
1733003425,79214
1733003430,79214
1733003435,79214
1733003440,79214
1733003445,79214
1733003450,79214
1733003455,79214
1733003460,79214
1733003465,79214
1733003470,79214
1733003475,79214
1733003480,79214
1733003485,79214
1733003490,79214
1733003495,79214
1733003500,79214
1733003505,79214
1733003510,79214
1733003515,79214
1733003520,79214
1733003525,79214
1733003530,79214
1733003535,79214
1733003540,79214
1733003545,79214
1733003550,79214
1733003555,79214
1733003560,79214
1733003565,79214
1733003570,79214
1733003575,79214
1733003580,79214
1733003585,79214
1733003590,79214
1733003595,79214
1733003600,79214
1733003605,79214
1733003610,79214
1733003615,79214
1733003620,79214
1733003625,79214
1733003630,79214
1733003635,79214
1733003640,79214
1733003645,79214
1733003650,79214
1733003655,79214
1733003660,79214
1733003665,79214
1733003670,79214
1733003675,79214
1733003680,79214
1733003685,79214
1733003690,79214
1733003695,79214
1733003700,79214
1733003705,79214
1733003710,79214
1733003715,79214
1733003720,79214
1733003725,79214
1733003730,79214
1733003735,79214
1733003740,79214
1733003745,79214
1733003750,79214
1733003755,79214
1733003760,79214
1733003765,79214
1733003770,79214
1733003775,79214
1733003780,79214
1733003785,79214
1733003790,79214
1733003795,79214
1733003800,79214
1733003805,79214
1733003810,79214
1733003815,79214
1733003820,79214
1733003825,79214
1733003830,79214
1733003835,79214
1733003840,79214
1733003845,79214
1733003850,79214
1733003855,79214
1733003860,79214
1733003865,79214
1733003870,79214
1733003875,79214
1733003880,79214
1733003885,79214
1733003890,79214
1733003895,79214
1733003900,79214
1733003905,79214
1733003910,79214
1733003915,79214
1733003920,79214
1733003925,79214
1733003930,79214
1733003935,79214
1733003940,79214
1733003945,79214
1733003950,79214
1733003955,79214
1733003960,79214
1733003965,79214
1733003970,79214
1733003975,79214
1733003980,79214
1733003985,79214
1733003990,79214
1733003995,79214
1733004000,79214
1733004005,79214
1733004010,79214
1733004015,79214
1733004020,79214
1733004025,79214
1733004030,79214
1733004035,79214
1733004040,79214
1733004045,79214
1733004050,79214
1733004055,79214
1733004060,79214
1733004065,79214
1733004070,79214
1733004075,79214
1733004080,79214
1733004085,79214
1733004090,79214
1733004095,79214
1733004100,79214
1733004105,79214
1733004110,79214
1733004115,79214
1733004120,79214
1733004125,79214
1733004130,79214
1733004135,79214
1733004140,79214
1733004145,79214
1733004150,79214
1733004155,79214
1733004160,79214
1733004165,79214
1733004170,79214
1733004175,79214
1733004180,79214
1733004185,79214
1733004190,79214
1733004195,79214
1733004200,79214
1733004205,79214
1733004210,79214
1733004215,79214
1733004220,79214
1733004225,79214
1733004230,79214
1733004235,79214
1733004240,79214
1733004245,79214
1733004250,79214
1733004255,79214
1733004260,79214
1733004265,79214
1733004270,79214
1733004275,79214
1733004280,79214
1733004285,79214
1733004290,79214
1733004295,79214
1733004300,79214
1733004305,79214
1733004310,79214
1733004315,79214
1733004320,79214
1733004325,79214
1733004330,79214
1733004335,79214
1733004340,79214
1733004345,79214
1733004350,79214
1733004355,79214
1733004360,79214
1733004365,79214
1733004370,79214
1733004375,79214
1733004380,79214
1733004385,79214
1733004390,79214
1733004395,79214
1733004400,79214
1733004405,79214
1733004410,79214
1733004415,79214
1733004420,79214
1733004425,79214
1733004430,79214
1733004435,79214
1733004440,79214
1733004445,79214
1733004450,79214
1733004455,79214
1733004460,79214
1733004465,79214
1733004470,79214
1733004475,79214
1733004480,79214
1733004485,79214
1733004490,79214
1733004495,79214
1733004500,79214
1733004505,79214
1733004510,79214
1733004515,79214
1733004520,79214
1733004525,79214
1733004530,79214
1733004535,79214
1733004540,79214
1733004545,79214
1733004550,79214
1733004555,79214
1733004560,79214
1733004565,79214
1733004570,79214
1733004575,79214
1733004580,79214
1733004585,79214
1733004590,79214
1733004595,79214
1733004600,79214
1733004605,79214
1733004610,79214
1733004615,79214
1733004620,79214
1733004625,79214
1733004630,79214
1733004635,79214
1733004640,79214
1733004645,79214
1733004650,79214
1733004655,79214
1733004660,79214
1733004665,79214
1733004670,79214
1733004675,79214
1733004680,79214
1733004685,79214
1733004690,79214
1733004695,79214
1733004700,79214
1733004705,79214
1733004710,79214
1733004715,79214
1733004720,79214
1733004725,79214
1733004730,79214
1733004735,79214
1733004740,79214
1733004745,79214
1733004750,79214
1733004755,79214
1733004760,79214
1733004765,79214
1733004770,79214
1733004775,79214
1733004780,79214
1733004785,79214
1733004790,79214
1733004795,79214
1733004800,79214
1733004805,79214
1733004810,79214
1733004815,79214
1733004820,79214
1733004825,79214
1733004830,79214
1733004835,79214
1733004840,79214
1733004845,79214
1733004850,79214
1733004855,79214
1733004860,79214
1733004865,79214
1733004870,79214
1733004875,79214
1733004880,79214
1733004885,79214
1733004890,79214
1733004895,79214
1733004900,79214
1733004905,79214
1733004910,79214
1733004915,79214
1733004920,79214
1733004925,79214
1733004930,79214
1733004935,79214
1733004940,79214
1733004945,79214
1733004950,79214
1733004955,79214
1733004960,79214
1733004965,79214
1733004970,79214
1733004975,79214
1733004980,79214
1733004985,79214
1733004990,79214
1733004995,79214
1733005000,79214
1733005005,79214
1733005010,79214
1733005015,79214
1733005020,79214
1733005025,79214
1733005030,79214
1733005035,79214
1733005040,79214
1733005045,79214
1733005050,79214
1733005055,79214
