t,count
1732997351,33871
1732997356,84143
1732997361,134135
1732997366,185469
1732997371,236383
1732997376,286887
1732997381,339048
1732997386,391043
1732997391,427986
1732997396,427986
1732997401,427986
1732997406,427986
1732997411,427986
1732997416,427986
1732997421,427986
1732997426,427986
1732997431,427986
1732997436,427986
1732997441,427986
1732997446,427986
1732997451,427986
1732997456,427986
1733002260,112694
1733002265,250591
1733002270,427986
1733002275,427986
1733002280,427986
1733002285,427986
1733002290,427986
1733002295,427986
1733002300,427986
1733002305,427986
1733002310,427986
1733002315,427986
1733002320,427986
1733002325,427986
1733002330,427986
1733002335,427986
1733002340,427986
1733002345,427986
1733002350,427986
1733002355,427986
1733002360,427986
1733002365,427986
1733002370,427986
1733002375,427986
1733002380,427986
1733002385,427986
1733002390,427986
1733002395,427986
1733002400,427986
1733002405,427986
1733002410,427986
1733002415,427986
1733002420,427986
1733002425,427986
1733002430,427986
1733002435,427986
1733002440,427986
1733002445,427986
1733002450,427986
1733002455,427986
1733002460,427986
1733002465,427986
1733002470,427986
1733002475,427986
1733002480,427986
1733002485,427986
1733002490,427986
1733002495,427986
1733002500,427986
1733002505,427986
1733002510,427986
1733002515,427986
1733002520,427986
1733002525,427986
1733002530,427986
1733002535,427986
1733002540,427986
1733002545,427986
1733002550,427986
1733002555,427986
1733002560,427986
1733002565,427986
1733002570,427986
1733002575,427986
1733002580,427986
1733002585,427986
1733002590,427986
1733002595,427986
1733002600,427986
1733002605,427986
1733002610,427986
1733002615,427986
1733002620,427986
1733002625,427986
1733002630,427986
1733002635,427986
1733002640,427986
1733002645,427986
1733002650,427986
1733002655,427986
1733002660,427986
1733002665,427986
1733002670,427986
1733002675,427986
1733002680,427986
1733002685,427986
1733002690,427986
1733002695,427986
1733002700,427986
1733002705,427986
1733002710,427986
1733002715,427986
1733002720,427986
1733002725,427986
1733002730,427986
1733002735,427986
1733002740,427986
1733002745,427986
1733002750,427986
1733002755,427986
1733002760,427986
1733002765,427986
1733002770,427986
1733002775,427986
1733002780,427986
1733002785,427986
1733002790,427986
1733002795,427986
1733002800,427986
1733002805,427986
1733002810,427986
1733002815,427986
1733002820,427986
1733002825,427986
1733002830,427986
1733002835,427986
1733002840,427986
1733002845,427986
1733002850,427986
1733002855,427986
1733002860,427986
1733002865,427986
1733002870,427986
1733002875,427986
1733002880,427986
1733002885,427986
1733002890,427986
1733002895,427986
1733002900,427986
1733002905,427986
1733002910,427986
1733002915,427986
1733002920,427986
1733002925,427986
1733002930,427986
1733002935,427986
1733002940,427986
1733002945,427986
1733002950,427986
1733002955,427986
1733002960,427986
1733002965,427986
1733002970,427986
1733002975,427986
1733002980,427986
1733002985,427986
1733002990,427986
1733002995,427986
1733003000,427986
1733003005,427986
1733003010,427986
1733003015,427986
1733003020,427986
1733003025,427986
1733003030,427986
1733003035,427986
1733003040,427986
1733003045,427986
1733003050,427986
1733003055,427986
1733003060,427986
1733003065,427986
1733003070,427986
1733003075,427986
1733003080,427986
1733003085,427986
1733003090,427986
1733003095,427986
1733003100,427986
1733003105,427986
1733003110,427986
1733003115,427986
1733003120,427986
1733003125,427986
1733003130,427986
1733003135,427986
1733003140,427986
1733003145,427986
1733003150,427986
1733003155,427986
1733003160,427986
1733003165,427986
1733003170,427986
1733003175,427986
1733003180,427986
1733003185,427986
1733003190,427986
1733003195,427986
1733003200,427986
1733003205,427986
1733003210,427986
1733003215,427986
1733003220,427986
1733003225,427986
1733003230,427986
1733003235,427986
1733003240,427986
1733003245,427986
1733003250,427986
1733003255,427986
1733003260,427986
1733003265,427986
1733003270,427986
1733003275,427986
1733003280,427986
1733003285,427986
1733003290,427986
1733003295,427986
1733003300,427986
1733003305,427986
1733003310,427986
1733003315,427986
1733003320,427986
1733003325,427986
1733003330,427986
1733003335,427986
1733003340,427986
1733003345,427986
1733003350,427986
1733003355,427986
1733003360,427986
1733003365,427986
1733003370,427986
1733003375,427986
1733003380,427986
1733003385,427986
1733003390,427986
1733003395,427986
1733003400,427986
1733003405,427986
1733003410,427986
1733003415,427986
1733003420,427986
1733003425,427986
1733003430,427986
1733003435,427986
1733003440,427986
1733003445,427986
1733003450,427986
