t,count
1732997351,0
1732997356,0
1732997361,0
1732997366,0
1732997371,0
1732997376,0
1732997381,0
1732997386,0
1732997391,0
1732997396,0
1732997401,0
1732997406,0
1732997411,0
1732997416,0
1732997421,0
1732997426,0
1732997431,0
1732997436,0
1732997441,0
1732997446,0
1732997451,0
1732997456,0
1733002260,0
1733002265,0
1733002270,0
1733002275,0
1733002280,0
1733002285,0
1733002290,0
1733002295,0
1733002300,0
1733002305,0
1733002310,0
1733002315,0
1733002320,0
1733002325,0
1733002330,0
1733002335,0
1733002340,0
1733002345,0
1733002350,0
1733002355,0
1733002360,0
1733002365,0
1733002370,0
1733002375,0
1733002380,0
1733002385,0
1733002390,0
1733002395,0
1733002400,0
1733002405,0
1733002410,0
1733002415,0
1733002420,0
1733002425,0
1733002430,0
1733002435,0
1733002440,0
1733002445,0
1733002450,0
1733002455,0
1733002460,0
1733002465,0
1733002470,0
1733002475,0
1733002480,0
1733002485,0
1733002490,0
1733002495,0
1733002500,0
1733002505,0
1733002510,0
1733002515,0
1733002520,0
1733002525,0
1733002530,0
1733002535,0
1733002540,0
1733002545,0
1733002550,0
1733002555,0
1733002560,0
1733002565,0
1733002570,0
1733002575,0
1733002580,0
1733002585,0
1733002590,0
1733002595,0
1733002600,0
1733002605,0
1733002610,0
1733002615,0
1733002620,0
1733002625,0
1733002630,0
1733002635,0
1733002640,0
1733002645,0
1733002650,0
1733002655,0
1733002660,0
1733002665,0
1733002670,0
1733002675,0
1733002680,0
1733002685,0
1733002690,0
1733002695,0
1733002700,0
1733002705,0
1733002710,0
1733002715,0
1733002720,0
1733002725,0
1733002730,0
1733002735,0
1733002740,0
1733002745,0
1733002750,0
1733002755,0
1733002760,0
1733002765,0
1733002770,0
1733002775,0
1733002780,0
1733002785,0
1733002790,0
1733002795,0
1733002800,0
1733002805,0
1733002810,0
1733002815,0
1733002820,0
1733002825,0
1733002830,0
1733002835,0
1733002840,0
1733002845,0
1733002850,0
1733002855,0
1733002860,0
1733002865,0
1733002870,0
1733002875,0
1733002880,0
1733002885,0
1733002890,0
1733002895,0
1733002900,0
1733002905,0
1733002910,0
1733002915,0
1733002920,0
1733002925,0
1733002930,0
1733002935,0
1733002940,0
1733002945,0
1733002950,0
1733002955,0
1733002960,0
1733002965,0
1733002970,0
1733002975,0
1733002980,0
1733002985,0
1733002990,0
1733002995,0
1733003000,0
1733003005,0
1733003010,0
1733003015,0
1733003020,0
1733003025,0
1733003030,0
1733003035,0
1733003040,0
1733003045,0
1733003050,0
1733003055,0
1733003060,0
1733003065,0
1733003070,0
1733003075,0
1733003080,0
1733003085,0
1733003090,0
1733003095,0
1733003100,0
1733003105,0
1733003110,0
1733003115,0
1733003120,0
1733003125,0
1733003130,0
1733003135,0
1733003140,0
1733003145,0
1733003150,0
1733003155,0
1733003160,0
1733003165,0
1733003170,0
1733003175,0
1733003180,0
1733003185,0
1733003190,0
1733003195,0
1733003200,0
1733003205,0
1733003210,0
1733003215,0
1733003220,0
1733003225,0
1733003230,0
1733003235,0
1733003240,0
1733003245,0
1733003250,0
1733003255,0
1733003260,0
1733003265,0
1733003270,0
1733003275,0
1733003280,0
1733003285,0
1733003290,0
1733003295,0
1733003300,0
1733003305,0
1733003310,0
1733003315,0
1733003320,0
1733003325,0
1733003330,0
1733003335,0
1733003340,0
1733003345,0
1733003350,0
1733003355,0
1733003360,0
1733003365,0
1733003370,0
1733003375,0
1733003380,0
1733003385,0
1733003390,0
1733003395,0
1733003400,0
1733003405,0
1733003410,0
1733003415,0
1733003420,0
1733003425,0
1733003430,0
1733003435,0
1733003440,0
1733003445,0
1733003450,0
1733003455,0
1733003460,0
1733003465,0
1733003470,0
1733003475,0
1733003480,0
1733003485,0
1733003490,0
1733003495,0
1733003500,0
1733003505,0
1733003510,0
1733003515,0
1733003520,0
1733003525,0
1733003530,0
1733003535,0
1733003540,0
1733003545,0
1733003550,0
1733003555,0
1733003560,0
1733003565,0
1733003570,0
1733003575,0
1733003580,0
1733003585,0
1733003590,0
1733003595,0
1733003600,0
1733003605,0
1733003610,0
1733003615,0
1733003620,0
1733003625,0
1733003630,0
1733003635,0
1733003640,0
1733003645,0
1733003650,0
1733003655,0
1733003660,0
1733003665,0
1733003670,0
1733003675,0
1733003680,0
1733003685,0
1733003690,0
1733003695,0
1733003700,0
1733003705,0
1733003710,0
1733003715,0
1733003720,0
1733003725,0
1733003730,0
1733003735,0
1733003740,0
1733003745,0
1733003750,0
1733003755,0
1733003760,0
1733003765,0
1733003770,0
1733003775,0
1733003780,0
1733003785,0
1733003790,0
1733003795,0
1733003800,0
1733003805,0
1733003810,0
1733003815,0
1733003820,0
1733003825,0
1733003830,0
1733003835,0
1733003840,0
1733003845,0
1733003850,0
1733003855,0
1733003860,0
1733003865,0
1733003870,0
1733003875,0
1733003880,0
1733003885,0
1733003890,0
1733003895,0
1733003900,0
1733003905,0
1733003910,0
1733003915,0
1733003920,0
1733003925,0
1733003930,0
1733003935,0
1733003940,0
1733003945,0
1733003950,0
1733003955,0
1733003960,0
1733003965,0
1733003970,0
1733003975,0
1733003980,0
1733003985,0
1733003990,0
1733003995,0
1733004000,0
1733004005,0
1733004010,0
1733004015,0
1733004020,0
1733004025,0
1733004030,0
1733004035,0
1733004040,0
1733004045,0
1733004050,0
1733004055,0
1733004060,0
1733004065,0
1733004070,0
1733004075,0
1733004080,0
1733004085,0
1733004090,0
1733004095,0
1733004100,0
1733004105,0
1733004110,0
1733004115,0
1733004120,0
1733004125,0
1733004130,0
1733004135,0
1733004140,0
1733004145,0
1733004150,0
1733004155,0
1733004160,0
1733004165,0
1733004170,0
1733004175,0
1733004180,0
1733004185,0
1733004190,0
1733004195,0
1733004200,0
1733004205,0
1733004210,0
1733004215,0
1733004220,0
1733004225,0
1733004230,0
1733004235,0
1733004240,0
1733004245,0
1733004250,0
1733004255,0
1733004260,0
1733004265,0
1733004270,0
1733004275,0
1733004280,0
1733004285,0
1733004290,0
1733004295,0
1733004300,0
1733004305,0
1733004310,0
1733004315,0
1733004320,0
1733004325,0
1733004330,0
1733004335,0
1733004340,0
1733004345,0
1733004350,0
1733004355,0
1733004360,0
1733004365,0
1733004370,0
1733004375,0
1733004380,0
1733004385,0
1733004390,0
1733004395,0
1733004400,0
1733004405,0
1733004410,0
1733004415,0
1733004420,0
1733004425,0
