t,count,max,mean,min,stddev,p50,p75,p95,p98,p99,p999,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit,duration_unit
1732997351,4652,0.295506,0.005465,0.000080,0.017289,0.003016,0.004877,0.014393,0.021779,0.027973,0.293956,916.561553,930.400000,930.400000,930.400000,calls/second,milliseconds
1732997356,4652,0.295506,0.005465,0.000080,0.017289,0.003016,0.004877,0.014393,0.021779,0.027973,0.293956,464.957938,856.009323,915.021841,925.245443,calls/second,milliseconds
1732997361,4652,0.295506,0.005465,0.000080,0.017289,0.003016,0.004877,0.014393,0.021779,0.027973,0.293956,310.197980,856.009323,915.021841,925.245443,calls/second,milliseconds
1732997366,4652,0.295506,0.005465,0.000080,0.017289,0.003016,0.004877,0.014393,0.021779,0.027973,0.293956,232.419096,724.596249,885.023857,915.021841,calls/second,milliseconds
1732997371,4652,0.295506,0.005465,0.000080,0.017289,0.003016,0.004877,0.014393,0.021779,0.027973,0.293956,186.089541,724.596249,885.023857,915.021841,calls/second,milliseconds
1732997376,4652,0.295506,0.005465,0.000080,0.017289,0.003016,0.004877,0.014393,0.021779,0.027973,0.293956,155.032935,613.357482,856.009323,904.911206,calls/second,milliseconds
1732997381,4652,0.295506,0.005465,0.000080,0.017289,0.003016,0.004877,0.014393,0.021779,0.027973,0.293956,132.935969,613.357482,856.009323,904.911206,calls/second,milliseconds
1732997386,4652,0.295506,0.005465,0.000080,0.017289,0.003016,0.004877,0.014393,0.021779,0.027973,0.293956,116.312111,564.316126,841.860734,899.897860,calls/second,milliseconds
1732997391,4652,0.295506,0.005465,0.000080,0.017289,0.003016,0.004877,0.014393,0.021779,0.027973,0.293956,103.416585,519.195900,827.946000,894.912289,calls/second,milliseconds
1732997396,4652,0.295506,0.005465,0.000080,0.017289,0.003016,0.004877,0.014393,0.021779,0.027973,0.293956,93.056686,477.683288,814.261256,889.954339,calls/second,milliseconds
1732997401,4652,0.295506,0.005465,0.000080,0.017289,0.003016,0.004877,0.014393,0.021779,0.027973,0.293956,84.606157,439.489841,800.802701,885.023857,calls/second,milliseconds
1732997406,4652,0.295506,0.005465,0.000080,0.017289,0.003016,0.004877,0.014393,0.021779,0.027973,0.293956,77.554687,404.350173,787.566597,880.120690,calls/second,milliseconds
1732997411,4652,0.295506,0.005465,0.000080,0.017289,0.003016,0.004877,0.014393,0.021779,0.027973,0.293956,71.590899,372.020118,774.549266,875.244687,calls/second,milliseconds
1732997416,4652,0.295506,0.005465,0.000080,0.017289,0.003016,0.004877,0.014393,0.021779,0.027973,0.293956,66.468778,342.275032,761.747093,870.395699,calls/second,milliseconds
1732997421,4652,0.295506,0.005465,0.000080,0.017289,0.003016,0.004877,0.014393,0.021779,0.027973,0.293956,62.036496,314.908232,749.156521,865.573574,calls/second,milliseconds
1732997426,4652,0.295506,0.005465,0.000080,0.017289,0.003016,0.004877,0.014393,0.021779,0.027973,0.293956,58.163415,289.729560,736.774053,860.778165,calls/second,milliseconds
1732997431,4652,0.295506,0.005465,0.000080,0.017289,0.003016,0.004877,0.014393,0.021779,0.027973,0.293956,54.740545,266.564063,724.596249,856.009323,calls/second,milliseconds
1732997436,4652,0.295506,0.005465,0.000080,0.017289,0.003016,0.004877,0.014393,0.021779,0.027973,0.293956,51.702058,245.250777,712.619726,851.266902,calls/second,milliseconds
1732997441,4652,0.295506,0.005465,0.000080,0.017289,0.003016,0.004877,0.014393,0.021779,0.027973,0.293956,48.978770,225.641608,700.841158,846.550754,calls/second,milliseconds
1732997446,4652,0.295506,0.005465,0.000080,0.017289,0.003016,0.004877,0.014393,0.021779,0.027973,0.293956,46.530529,207.600301,689.257273,841.860734,calls/second,milliseconds
1732997451,4652,0.295506,0.005465,0.000080,0.017289,0.003016,0.004877,0.014393,0.021779,0.027973,0.293956,44.314257,191.001497,677.864852,837.196697,calls/second,milliseconds
1732997456,4652,0.295506,0.005465,0.000080,0.017289,0.003016,0.004877,0.014393,0.021779,0.027973,0.293956,42.295787,175.729861,666.660731,832.558500,calls/second,milliseconds
1733002260,4736,0.443000,0.012562,0.000200,0.029146,0.008000,0.012375,0.028095,0.051849,0.195999,0.438972,949.015581,0.000000,0.000000,0.000000,calls/second,milliseconds
1733002265,4736,0.443000,0.012562,0.000200,0.029146,0.008000,0.012375,0.028095,0.051849,0.195999,0.438972,476.411495,947.200000,947.200000,947.200000,calls/second,milliseconds
1733002270,4736,0.443000,0.012562,0.000200,0.029146,0.008000,0.012375,0.028095,0.051849,0.195999,0.438972,316.793042,871.466070,931.544161,941.952368,calls/second,milliseconds
1733002275,4736,0.443000,0.012562,0.000200,0.029146,0.008000,0.012375,0.028095,0.051849,0.195999,0.438972,237.525540,801.787490,916.147090,936.733809,calls/second,milliseconds
1733002280,4736,0.443000,0.012562,0.000200,0.029146,0.008000,0.012375,0.028095,0.051849,0.195999,0.438972,189.868970,737.680102,901.004511,931.544161,calls/second,milliseconds
1733002285,4736,0.443000,0.012562,0.000200,0.029146,0.008000,0.012375,0.028095,0.051849,0.195999,0.438972,158.140148,678.698457,886.112216,926.383265,calls/second,milliseconds
1733002290,4736,0.443000,0.012562,0.000200,0.029146,0.008000,0.012375,0.028095,0.051849,0.195999,0.438972,135.537104,624.432725,871.466070,921.250961,calls/second,milliseconds
1733002295,4736,0.443000,0.012562,0.000200,0.029146,0.008000,0.012375,0.028095,0.051849,0.195999,0.438972,118.553059,574.505841,857.062002,916.147090,calls/second,milliseconds
1733002300,4736,0.443000,0.012562,0.000200,0.029146,0.008000,0.012375,0.028095,0.051849,0.195999,0.438972,105.362294,528.570890,842.896013,911.071496,calls/second,milliseconds
1733002305,4736,0.443000,0.012562,0.000200,0.029146,0.008000,0.012375,0.028095,0.051849,0.195999,0.438972,94.819834,486.308695,828.964168,906.024022,calls/second,milliseconds
1733002310,4736,0.443000,0.012562,0.000200,0.029146,0.008000,0.012375,0.028095,0.051849,0.195999,0.438972,86.191621,447.425599,815.262595,901.004511,calls/second,milliseconds
1733002315,4736,0.443000,0.012562,0.000200,0.029146,0.008000,0.012375,0.028095,0.051849,0.195999,0.438972,79.013131,411.651423,801.787490,896.012809,calls/second,milliseconds
1733002320,4736,0.443000,0.012562,0.000200,0.029146,0.008000,0.012375,0.028095,0.051849,0.195999,0.438972,72.922118,378.737593,788.535108,891.048762,calls/second,milliseconds
1733002325,4736,0.443000,0.012562,0.000200,0.029146,0.008000,0.012375,0.028095,0.051849,0.195999,0.438972,67.707926,348.455407,775.501769,886.112216,calls/second,milliseconds
1733002330,4736,0.443000,0.012562,0.000200,0.029146,0.008000,0.012375,0.028095,0.051849,0.195999,0.438972,63.200247,320.594451,762.683853,881.203020,calls/second,milliseconds
1733002335,4736,0.443000,0.012562,0.000200,0.029146,0.008000,0.012375,0.028095,0.051849,0.195999,0.438972,59.244347,294.961134,750.077797,876.321021,calls/second,milliseconds
1733002340,4736,0.443000,0.012562,0.000200,0.029146,0.008000,0.012375,0.028095,0.051849,0.195999,0.438972,55.759185,271.377344,737.680102,871.466070,calls/second,milliseconds
1733002345,4736,0.443000,0.012562,0.000200,0.029146,0.008000,0.012375,0.028095,0.051849,0.195999,0.438972,52.652890,249.679209,725.487322,866.638015,calls/second,milliseconds
1733002350,4736,0.443000,0.012562,0.000200,0.029146,0.008000,0.012375,0.028095,0.051849,0.195999,0.438972,49.884761,229.715962,713.496071,861.836709,calls/second,milliseconds
1733002355,4736,0.443000,0.012562,0.000200,0.029146,0.008000,0.012375,0.028095,0.051849,0.195999,0.438972,47.385626,211.348888,701.703019,857.062002,calls/second,milliseconds
1733002360,4736,0.443000,0.012562,0.000200,0.029146,0.008000,0.012375,0.028095,0.051849,0.195999,0.438972,45.130095,194.450364,690.104888,852.313749,calls/second,milliseconds
1733002365,4736,0.443000,0.012562,0.000200,0.029146,0.008000,0.012375,0.028095,0.051849,0.195999,0.438972,43.076077,178.902971,678.698457,847.591801,calls/second,milliseconds
1733002370,4736,0.443000,0.012562,0.000200,0.029146,0.008000,0.012375,0.028095,0.051849,0.195999,0.438972,41.201153,164.598679,667.480559,842.896013,calls/second,milliseconds
1733002375,4736,0.443000,0.012562,0.000200,0.029146,0.008000,0.012375,0.028095,0.051849,0.195999,0.438972,39.487378,151.438095,656.448075,838.226241,calls/second,milliseconds
1733002380,4736,0.443000,0.012562,0.000200,0.029146,0.008000,0.012375,0.028095,0.051849,0.195999,0.438972,37.905512,139.329774,645.597943,833.582341,calls/second,milliseconds
1733002385,4736,0.443000,0.012562,0.000200,0.029146,0.008000,0.012375,0.028095,0.051849,0.195999,0.438972,36.446116,128.189580,634.927148,828.964168,calls/second,milliseconds
1733002390,4736,0.443000,0.012562,0.000200,0.029146,0.008000,0.012375,0.028095,0.051849,0.195999,0.438972,35.095421,117.940107,624.432725,824.371580,calls/second,milliseconds
1733002395,4736,0.443000,0.012562,0.000200,0.029146,0.008000,0.012375,0.028095,0.051849,0.195999,0.438972,33.842431,108.510137,614.111760,819.804436,calls/second,milliseconds
1733002400,4736,0.443000,0.012562,0.000200,0.029146,0.008000,0.012375,0.028095,0.051849,0.195999,0.438972,32.670559,99.834146,603.961385,815.262595,calls/second,milliseconds
1733002405,4736,0.443000,0.012562,0.000200,0.029146,0.008000,0.012375,0.028095,0.051849,0.195999,0.438972,31.585223,91.851848,593.978782,810.745917,calls/second,milliseconds
1733002410,4736,0.443000,0.012562,0.000200,0.029146,0.008000,0.012375,0.028095,0.051849,0.195999,0.438972,30.564734,84.507780,584.161176,806.254261,calls/second,milliseconds
1733002415,4736,0.443000,0.012562,0.000200,0.029146,0.008000,0.012375,0.028095,0.051849,0.195999,0.438972,29.611205,77.750911,574.505841,801.787490,calls/second,milliseconds
1733002420,4736,0.443000,0.012562,0.000200,0.029146,0.008000,0.012375,0.028095,0.051849,0.195999,0.438972,28.713638,71.534291,565.010095,797.345465,calls/second,milliseconds
1733002425,4736,0.443000,0.012562,0.000200,0.029146,0.008000,0.012375,0.028095,0.051849,0.195999,0.438972,27.868455,65.814725,555.671299,792.928050,calls/second,milliseconds
1733002430,4736,0.443000,0.012562,0.000200,0.029146,0.008000,0.012375,0.028095,0.051849,0.195999,0.438972,27.072947,60.552470,546.486860,788.535108,calls/second,milliseconds
1733002435,4736,0.443000,0.012562,0.000200,0.029146,0.008000,0.012375,0.028095,0.051849,0.195999,0.438972,26.319736,55.710962,537.454227,784.166504,calls/second,milliseconds
1733002440,4736,0.443000,0.012562,0.000200,0.029146,0.008000,0.012375,0.028095,0.051849,0.195999,0.438972,25.608294,51.256559,528.570890,779.822102,calls/second,milliseconds
1733002445,4736,0.443000,0.012562,0.000200,0.029146,0.008000,0.012375,0.028095,0.051849,0.195999,0.438972,24.934019,47.158311,519.834382,775.501769,calls/second,milliseconds
1733002450,4736,0.443000,0.012562,0.000200,0.029146,0.008000,0.012375,0.028095,0.051849,0.195999,0.438972,24.295018,43.387741,511.242275,771.205372,calls/second,milliseconds
1733002455,4736,0.443000,0.012562,0.000200,0.029146,0.008000,0.012375,0.028095,0.051849,0.195999,0.438972,23.686377,39.918649,502.792184,766.932777,calls/second,milliseconds
1733002460,4736,0.443000,0.012562,0.000200,0.029146,0.008000,0.012375,0.028095,0.051849,0.195999,0.438972,23.109789,36.726930,494.481760,762.683853,calls/second,milliseconds
1733002465,4736,0.443000,0.012562,0.000200,0.029146,0.008000,0.012375,0.028095,0.051849,0.195999,0.438972,22.558195,33.790406,486.308695,758.458468,calls/second,milliseconds
1733002470,4736,0.443000,0.012562,0.000200,0.029146,0.008000,0.012375,0.028095,0.051849,0.195999,0.438972,22.033266,31.088675,478.270719,754.256493,calls/second,milliseconds
1733002475,4736,0.443000,0.012562,0.000200,0.029146,0.008000,0.012375,0.028095,0.051849,0.195999,0.438972,21.533462,28.602962,470.365600,750.077797,calls/second,milliseconds
1733002480,4736,0.443000,0.012562,0.000200,0.029146,0.008000,0.012375,0.028095,0.051849,0.195999,0.438972,21.054423,26.315995,462.591140,745.922252,calls/second,milliseconds
1733002485,4736,0.443000,0.012562,0.000200,0.029146,0.008000,0.012375,0.028095,0.051849,0.195999,0.438972,20.597113,24.211884,454.945181,741.789730,calls/second,milliseconds
1733002490,4736,0.443000,0.012562,0.000200,0.029146,0.008000,0.012375,0.028095,0.051849,0.195999,0.438972,20.156843,22.276009,447.425599,737.680102,calls/second,milliseconds
1733002495,4736,0.443000,0.012562,0.000200,0.029146,0.008000,0.012375,0.028095,0.051849,0.195999,0.438972,19.738592,20.494918,440.030304,733.593242,calls/second,milliseconds
1733002500,4736,0.443000,0.012562,0.000200,0.029146,0.008000,0.012375,0.028095,0.051849,0.195999,0.438972,19.335446,18.856234,432.757243,729.529024,calls/second,milliseconds
1733002505,4736,0.443000,0.012562,0.000200,0.029146,0.008000,0.012375,0.028095,0.051849,0.195999,0.438972,18.948426,17.348573,425.604395,725.487322,calls/second,milliseconds
1733002510,4736,0.443000,0.012562,0.000200,0.029146,0.008000,0.012375,0.028095,0.051849,0.195999,0.438972,18.576436,15.961458,418.569773,721.468012,calls/second,milliseconds
1733002515,4736,0.443000,0.012562,0.000200,0.029146,0.008000,0.012375,0.028095,0.051849,0.195999,0.438972,18.219636,14.685250,411.651423,717.470970,calls/second,milliseconds
1733002520,4736,0.443000,0.012562,0.000200,0.029146,0.008000,0.012375,0.028095,0.051849,0.195999,0.438972,17.875833,13.511082,404.847424,713.496071,calls/second,milliseconds
1733002525,4736,0.443000,0.012562,0.000200,0.029146,0.008000,0.012375,0.028095,0.051849,0.195999,0.438972,17.544414,12.430796,398.155884,709.543195,calls/second,milliseconds
1733002530,4736,0.443000,0.012562,0.000200,0.029146,0.008000,0.012375,0.028095,0.051849,0.195999,0.438972,17.225411,11.436884,391.574946,705.612218,calls/second,milliseconds
1733002535,4736,0.443000,0.012562,0.000200,0.029146,0.008000,0.012375,0.028095,0.051849,0.195999,0.438972,16.918351,10.522442,385.102782,701.703019,calls/second,milliseconds
1733002540,4736,0.443000,0.012562,0.000200,0.029146,0.008000,0.012375,0.028095,0.051849,0.195999,0.438972,16.620598,9.681114,378.737593,697.815477,calls/second,milliseconds
1733002545,4736,0.443000,0.012562,0.000200,0.029146,0.008000,0.012375,0.028095,0.051849,0.195999,0.438972,16.334216,8.907054,372.477611,693.949473,calls/second,milliseconds
1733002550,4736,0.443000,0.012562,0.000200,0.029146,0.008000,0.012375,0.028095,0.051849,0.195999,0.438972,16.057245,8.194886,366.321097,690.104888,calls/second,milliseconds
1733002555,4736,0.443000,0.012562,0.000200,0.029146,0.008000,0.012375,0.028095,0.051849,0.195999,0.438972,15.789360,7.539659,360.266342,686.281602,calls/second,milliseconds
1733002560,4736,0.443000,0.012562,0.000200,0.029146,0.008000,0.012375,0.028095,0.051849,0.195999,0.438972,15.530505,6.936821,354.311663,682.479498,calls/second,milliseconds
1733002565,4736,0.443000,0.012562,0.000200,0.029146,0.008000,0.012375,0.028095,0.051849,0.195999,0.438972,15.280613,6.382183,348.455407,678.698457,calls/second,milliseconds
1733002570,4736,0.443000,0.012562,0.000200,0.029146,0.008000,0.012375,0.028095,0.051849,0.195999,0.438972,15.037777,5.871892,342.695945,674.938365,calls/second,milliseconds
