t,count
1732997351,93001
1732997356,93001
1732997361,93001
1732997366,93001
1732997371,93001
1732997376,93001
1732997381,93001
1732997386,93001
1732997391,93001
1732997396,93001
1732997401,93001
1732997406,93001
1732997411,93001
1732997416,93001
1732997421,93001
1732997426,93001
1732997431,93001
1732997436,93001
1732997441,93001
1732997446,93001
1732997451,93001
1732997456,93001
1733002260,93001
1733002265,93001
1733002270,93001
1733002275,93001
1733002280,93001
1733002285,93001
1733002290,93001
1733002295,93001
1733002300,93001
1733002305,93001
1733002310,93001
1733002315,93001
1733002320,93001
1733002325,93001
1733002330,93001
1733002335,93001
1733002340,93001
1733002345,93001
1733002350,93001
1733002355,93001
1733002360,93001
1733002365,93001
1733002370,93001
1733002375,93001
1733002380,93001
1733002385,93001
1733002390,93001
1733002395,93001
1733002400,93001
1733002405,93001
1733002410,93001
1733002415,93001
1733002420,93001
1733002425,93001
1733002430,93001
1733002435,93001
1733002440,93001
1733002445,93001
1733002450,93001
1733002455,93001
1733002460,93001
1733002465,93001
1733002470,93001
1733002475,93001
1733002480,93001
1733002485,93001
1733002490,93001
1733002495,93001
1733002500,93001
1733002505,93001
1733002510,93001
1733002515,93001
1733002520,93001
1733002525,93001
1733002530,93001
1733002535,93001
1733002540,93001
1733002545,93001
1733002550,93001
1733002555,93001
1733002560,93001
1733002565,93001
1733002570,93001
1733002575,93001
1733002580,93001
1733002585,93001
1733002590,93001
1733002595,93001
1733002600,93001
1733002605,93001
1733002610,93001
1733002615,93001
1733002620,93001
1733002625,93001
1733002630,93001
1733002635,93001
1733002640,93001
1733002645,93001
1733002650,93001
1733002655,93001
1733002660,93001
1733002665,93001
1733002670,93001
1733002675,93001
1733002680,93001
1733002685,93001
1733002690,93001
1733002695,93001
1733002700,93001
1733002705,93001
1733002710,93001
1733002715,93001
1733002720,93001
1733002725,93001
1733002730,93001
1733002735,93001
1733002740,93001
1733002745,93001
1733002750,93001
1733002755,93001
1733002760,93001
1733002765,93001
1733002770,93001
1733002775,93001
1733002780,93001
1733002785,93001
1733002790,93001
1733002795,93001
1733002800,93001
