t,count,max,mean,min,stddev,p50,p75,p95,p98,p99,p999,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit,duration_unit
1732997351,3889,94.056281,0.121879,0.001352,2.933181,0.020780,0.025276,0.070208,0.128961,0.412806,91.356939,762.073894,777.800000,777.800000,777.800000,calls/second,milliseconds
1732997356,3889,94.056281,0.121879,0.001352,2.933181,0.020780,0.025276,0.070208,0.128961,0.412806,91.356939,387.680246,715.610546,764.944097,773.490870,calls/second,milliseconds
1732997361,3889,94.056281,0.121879,0.001352,2.933181,0.020780,0.025276,0.070208,0.128961,0.412806,91.356939,258.859959,658.393486,752.300683,769.205613,calls/second,milliseconds
1732997366,3889,94.056281,0.121879,0.001352,2.933181,0.020780,0.025276,0.070208,0.128961,0.412806,91.356939,194.047635,605.751249,739.866246,764.944097,calls/second,milliseconds
1732997371,3889,94.056281,0.121879,0.001352,2.933181,0.020780,0.025276,0.070208,0.128961,0.412806,91.356939,155.405572,557.318053,727.637333,760.706190,calls/second,milliseconds
1732997376,3889,94.056281,0.121879,0.001352,2.933181,0.020780,0.025276,0.070208,0.128961,0.412806,91.356939,129.492779,512.757362,715.610546,756.491762,calls/second,milliseconds
1732997381,3889,94.056281,0.121879,0.001352,2.933181,0.020780,0.025276,0.070208,0.128961,0.412806,91.356939,111.050167,471.759547,703.782544,752.300683,calls/second,milliseconds
1732997386,3889,94.056281,0.121879,0.001352,2.933181,0.020780,0.025276,0.070208,0.128961,0.412806,91.356939,97.172018,434.039736,692.150041,748.132823,calls/second,milliseconds
1732997391,3889,94.056281,0.121879,0.001352,2.933181,0.020780,0.025276,0.070208,0.128961,0.412806,91.356939,86.405697,399.335835,680.709808,743.988053,calls/second,milliseconds
1732997396,3889,94.056281,0.121879,0.001352,2.933181,0.020780,0.025276,0.070208,0.128961,0.412806,91.356939,77.754393,367.406705,669.458664,739.866246,calls/second,milliseconds
1732997401,3889,94.056281,0.121879,0.001352,2.933181,0.020780,0.025276,0.070208,0.128961,0.412806,91.356939,70.697011,338.030487,658.393486,735.767275,calls/second,milliseconds
1732997406,3889,94.056281,0.121879,0.001352,2.933181,0.020780,0.025276,0.070208,0.128961,0.412806,91.356939,64.806858,311.003061,647.511198,731.691012,calls/second,milliseconds
1732997411,3889,94.056281,0.121879,0.001352,2.933181,0.020780,0.025276,0.070208,0.128961,0.412806,91.356939,59.825440,286.136629,636.808780,727.637333,calls/second,milliseconds
1732997416,3889,94.056281,0.121879,0.001352,2.933181,0.020780,0.025276,0.070208,0.128961,0.412806,91.356939,55.546938,263.258408,626.283256,723.606112,calls/second,milliseconds
1732997421,3889,94.056281,0.121879,0.001352,2.933181,0.020780,0.025276,0.070208,0.128961,0.412806,91.356939,51.844489,242.209428,615.931705,719.597224,calls/second,milliseconds
1732997426,3889,94.056281,0.121879,0.001352,2.933181,0.020780,0.025276,0.070208,0.128961,0.412806,91.356939,48.608354,222.843431,605.751249,715.610546,calls/second,milliseconds
1732997431,3889,94.056281,0.121879,0.001352,2.933181,0.020780,0.025276,0.070208,0.128961,0.412806,91.356939,45.748596,205.025854,595.739062,711.645955,calls/second,milliseconds
1732997436,3889,94.056281,0.121879,0.001352,2.933181,0.020780,0.025276,0.070208,0.128961,0.412806,91.356939,43.209774,188.632892,585.892361,707.703328,calls/second,milliseconds
1732997441,3889,94.056281,0.121879,0.001352,2.933181,0.020780,0.025276,0.070208,0.128961,0.412806,91.356939,40.934633,173.550639,576.208412,703.782544,calls/second,milliseconds
1732997446,3889,94.056281,0.121879,0.001352,2.933181,0.020780,0.025276,0.070208,0.128961,0.412806,91.356939,38.888901,159.674296,566.684525,699.883481,calls/second,milliseconds
1732997451,3889,94.056281,0.121879,0.001352,2.933181,0.020780,0.025276,0.070208,0.128961,0.412806,91.356939,37.037208,146.907444,557.318053,696.006021,calls/second,milliseconds
1732997456,3889,94.056281,0.121879,0.001352,2.933181,0.020780,0.025276,0.070208,0.128961,0.412806,91.356939,35.350665,135.161373,548.106396,692.150041,calls/second,milliseconds
1733002260,2067,2.092199,0.094028,0.002301,0.144490,0.038100,0.069900,0.369820,0.509936,0.608040,2.066656,412.447531,412.400000,412.400000,412.400000,calls/second,milliseconds
1733002265,3911,2.092199,0.090770,0.001501,0.139406,0.038500,0.070675,0.366830,0.525015,0.581148,2.066656,392.717253,412.400000,412.400000,412.400000,calls/second,milliseconds
1733002270,3911,2.092199,0.090770,0.001501,0.139406,0.038500,0.070675,0.366830,0.525015,0.581148,2.066656,261.296993,408.993892,411.695884,412.163990,calls/second,milliseconds
1733002275,3911,2.092199,0.090770,0.001501,0.139406,0.038500,0.070675,0.366830,0.525015,0.581148,2.066656,195.974937,376.292546,404.891150,409.880538,calls/second,milliseconds
1733002280,3911,2.092199,0.090770,0.001501,0.139406,0.038500,0.070675,0.366830,0.525015,0.581148,2.066656,156.681897,346.205855,398.198887,407.609738,calls/second,milliseconds
1733002285,3911,2.092199,0.090770,0.001501,0.139406,0.038500,0.070675,0.366830,0.525015,0.581148,2.066656,130.515843,318.524763,391.617239,405.351518,calls/second,milliseconds
1733002290,3911,2.092199,0.090770,0.001501,0.139406,0.038500,0.070675,0.366830,0.525015,0.581148,2.066656,111.870581,293.056929,385.144375,403.105809,calls/second,milliseconds
1733002295,3911,2.092199,0.090770,0.001501,0.139406,0.038500,0.070675,0.366830,0.525015,0.581148,2.066656,97.858675,269.625391,378.778499,400.872542,calls/second,milliseconds
1733002300,3911,2.092199,0.090770,0.001501,0.139406,0.038500,0.070675,0.366830,0.525015,0.581148,2.066656,86.974599,248.067335,372.517841,398.651647,calls/second,milliseconds
1733002305,3911,2.092199,0.090770,0.001501,0.139406,0.038500,0.070675,0.366830,0.525015,0.581148,2.066656,78.275093,228.232966,366.360662,396.443056,calls/second,milliseconds
1733002310,3911,2.092199,0.090770,0.001501,0.139406,0.038500,0.070675,0.366830,0.525015,0.581148,2.066656,71.154634,209.984466,360.305253,394.246701,calls/second,milliseconds
1733002315,3911,2.092199,0.090770,0.001501,0.139406,0.038500,0.070675,0.366830,0.525015,0.581148,2.066656,65.230231,193.195035,354.349931,392.062515,calls/second,milliseconds
1733002320,3911,2.092199,0.090770,0.001501,0.139406,0.038500,0.070675,0.366830,0.525015,0.581148,2.066656,60.203110,177.748013,348.493042,389.890429,calls/second,milliseconds
1733002325,3911,2.092199,0.090770,0.001501,0.139406,0.038500,0.070675,0.366830,0.525015,0.581148,2.066656,55.899431,163.536066,342.732959,387.730376,calls/second,milliseconds
1733002330,3911,2.092199,0.090770,0.001501,0.139406,0.038500,0.070675,0.366830,0.525015,0.581148,2.066656,52.178779,150.460444,337.068081,385.582291,calls/second,milliseconds
1733002335,3911,2.092199,0.090770,0.001501,0.139406,0.038500,0.070675,0.366830,0.525015,0.581148,2.066656,48.913456,138.430292,331.496836,383.446107,calls/second,milliseconds
1733002340,3911,2.092199,0.090770,0.001501,0.139406,0.038500,0.070675,0.366830,0.525015,0.581148,2.066656,46.036611,127.362017,326.017675,381.321757,calls/second,milliseconds
1733002345,3911,2.092199,0.090770,0.001501,0.139406,0.038500,0.070675,0.366830,0.525015,0.581148,2.066656,43.472453,117.178712,320.629077,379.209176,calls/second,milliseconds
1733002350,3911,2.092199,0.090770,0.001501,0.139406,0.038500,0.070675,0.366830,0.525015,0.581148,2.066656,41.187407,107.809619,315.329544,377.108300,calls/second,milliseconds
1733002355,3911,2.092199,0.090770,0.001501,0.139406,0.038500,0.070675,0.366830,0.525015,0.581148,2.066656,39.124333,99.189638,310.117605,375.019063,calls/second,milliseconds
1733002360,3911,2.092199,0.090770,0.001501,0.139406,0.038500,0.070675,0.366830,0.525015,0.581148,2.066656,37.262360,91.258873,304.991812,372.941400,calls/second,milliseconds
1733002365,3911,2.092199,0.090770,0.001501,0.139406,0.038500,0.070675,0.366830,0.525015,0.581148,2.066656,35.566693,83.962216,299.950741,370.875248,calls/second,milliseconds
1733002370,3911,2.092199,0.090770,0.001501,0.139406,0.038500,0.070675,0.366830,0.525015,0.581148,2.066656,34.018866,77.248968,294.992991,368.820543,calls/second,milliseconds
1733002375,3911,2.092199,0.090770,0.001501,0.139406,0.038500,0.070675,0.366830,0.525015,0.581148,2.066656,32.604036,71.072481,290.117186,366.777221,calls/second,milliseconds
1733002380,3911,2.092199,0.090770,0.001501,0.139406,0.038500,0.070675,0.366830,0.525015,0.581148,2.066656,31.298104,65.389840,285.321971,364.745219,calls/second,milliseconds
1733002385,3911,2.092199,0.090770,0.001501,0.139406,0.038500,0.070675,0.366830,0.525015,0.581148,2.066656,30.093251,60.161557,280.606013,362.724475,calls/second,milliseconds
1733002390,3911,2.092199,0.090770,0.001501,0.139406,0.038500,0.070675,0.366830,0.525015,0.581148,2.066656,28.978150,55.351304,275.968004,360.714927,calls/second,milliseconds
1733002395,3911,2.092199,0.090770,0.001501,0.139406,0.038500,0.070675,0.366830,0.525015,0.581148,2.066656,27.943640,50.925658,271.406654,358.716511,calls/second,milliseconds
1733002400,3911,2.092199,0.090770,0.001501,0.139406,0.038500,0.070675,0.366830,0.525015,0.581148,2.066656,26.976155,46.853867,266.920697,356.729167,calls/second,milliseconds
1733002405,3911,2.092199,0.090770,0.001501,0.139406,0.038500,0.070675,0.366830,0.525015,0.581148,2.066656,26.080121,43.107639,262.508886,354.752833,calls/second,milliseconds
1733002410,3911,2.092199,0.090770,0.001501,0.139406,0.038500,0.070675,0.366830,0.525015,0.581148,2.066656,25.237601,39.660943,258.169995,352.787449,calls/second,milliseconds
1733002415,3911,2.092199,0.090770,0.001501,0.139406,0.038500,0.070675,0.366830,0.525015,0.581148,2.066656,24.450340,36.489829,253.902821,350.832953,calls/second,milliseconds
1733002420,3911,2.092199,0.090770,0.001501,0.139406,0.038500,0.070675,0.366830,0.525015,0.581148,2.066656,23.709290,33.572263,249.706176,348.889285,calls/second,milliseconds
1733002425,3911,2.092199,0.090770,0.001501,0.139406,0.038500,0.070675,0.366830,0.525015,0.581148,2.066656,23.011483,30.887973,245.578896,346.956385,calls/second,milliseconds
1733002430,3911,2.092199,0.090770,0.001501,0.139406,0.038500,0.070675,0.366830,0.525015,0.581148,2.066656,22.354674,28.418307,241.519834,345.034194,calls/second,milliseconds
1733002435,3911,2.092199,0.090770,0.001501,0.139406,0.038500,0.070675,0.366830,0.525015,0.581148,2.066656,21.732803,26.146105,237.527862,343.122652,calls/second,milliseconds
1733002440,3911,2.092199,0.090770,0.001501,0.139406,0.038500,0.070675,0.366830,0.525015,0.581148,2.066656,21.145403,24.055578,233.601872,341.221700,calls/second,milliseconds
1733002445,3911,2.092199,0.090770,0.001501,0.139406,0.038500,0.070675,0.366830,0.525015,0.581148,2.066656,20.588688,22.132200,229.740773,339.331280,calls/second,milliseconds
1733002450,3911,2.092199,0.090770,0.001501,0.139406,0.038500,0.070675,0.366830,0.525015,0.581148,2.066656,20.061094,20.362607,225.943492,337.451334,calls/second,milliseconds
1733002455,3911,2.092199,0.090770,0.001501,0.139406,0.038500,0.070675,0.366830,0.525015,0.581148,2.066656,19.558554,18.734503,222.208974,335.581802,calls/second,milliseconds
1733002460,3911,2.092199,0.090770,0.001501,0.139406,0.038500,0.070675,0.366830,0.525015,0.581148,2.066656,19.082497,17.236575,218.536183,333.722628,calls/second,milliseconds
1733002465,3911,2.092199,0.090770,0.001501,0.139406,0.038500,0.070675,0.366830,0.525015,0.581148,2.066656,18.627067,15.858414,214.924098,331.873754,calls/second,milliseconds
1733002470,3911,2.092199,0.090770,0.001501,0.139406,0.038500,0.070675,0.366830,0.525015,0.581148,2.066656,18.193651,14.590445,211.371715,330.035123,calls/second,milliseconds
1733002475,3911,2.092199,0.090770,0.001501,0.139406,0.038500,0.070675,0.366830,0.525015,0.581148,2.066656,17.780977,13.423858,207.878048,328.206678,calls/second,milliseconds
