t,count
1732997351,855973
1732997356,855973
1732997361,855973
1732997366,855973
1732997371,855973
1732997376,855973
1732997381,855973
1732997386,855973
1732997391,855973
1732997396,855973
1732997401,855973
1732997406,855973
1732997411,855973
1732997416,855973
1732997421,855973
1732997426,855973
1732997431,855973
1732997436,855973
1732997441,855973
1732997446,855973
1732997451,855973
1732997456,855973
1733002260,462642
1733002265,855973
1733002270,855973
1733002275,855973
1733002280,855973
1733002285,855973
1733002290,855973
1733002295,855973
1733002300,855973
1733002305,855973
1733002310,855973
1733002315,855973
1733002320,855973
1733002325,855973
1733002330,855973
1733002335,855973
1733002340,855973
1733002345,855973
1733002350,855973
1733002355,855973
1733002360,855973
1733002365,855973
1733002370,855973
1733002375,855973
1733002380,855973
1733002385,855973
1733002390,855973
1733002395,855973
1733002400,855973
1733002405,855973
1733002410,855973
1733002415,855973
1733002420,855973
1733002425,855973
1733002430,855973
1733002435,855973
1733002440,855973
1733002445,855973
1733002450,855973
1733002455,855973
1733002460,855973
1733002465,855973
1733002470,855973
1733002475,855973
1733002480,855973
1733002485,855973
1733002490,855973
1733002495,855973
1733002500,855973
1733002505,855973
1733002510,855973
1733002515,855973
1733002520,855973
1733002525,855973
1733002530,855973
1733002535,855973
1733002540,855973
1733002545,855973
1733002550,855973
1733002555,855973
1733002560,855973
1733002565,855973
1733002570,855973
1733002575,855973
1733002580,855973
1733002585,855973
1733002590,855973
1733002595,855973
1733002600,855973
1733002605,855973
1733002610,855973
1733002615,855973
1733002620,855973
1733002625,855973
1733002630,855973
1733002635,855973
1733002640,855973
1733002645,855973
1733002650,855973
1733002655,855973
1733002660,855973
1733002665,855973
1733002670,855973
1733002675,855973
1733002680,855973
1733002685,855973
1733002690,855973
1733002695,855973
1733002700,855973
1733002705,855973
1733002710,855973
1733002715,855973
1733002720,855973
1733002725,855973
1733002730,855973
1733002735,855973
1733002740,855973
1733002745,855973
1733002750,855973
1733002755,855973
1733002760,855973
1733002765,855973
1733002770,855973
1733002775,855973
1733002780,855973
1733002785,855973
1733002790,855973
1733002795,855973
1733002800,855973
1733002805,855973
1733002810,855973
1733002815,855973
1733002820,855973
1733002825,855973
1733002830,855973
1733002835,855973
1733002840,855973
1733002845,855973
1733002850,855973
1733002855,855973
1733002860,855973
1733002865,855973
1733002870,855973
1733002875,855973
1733002880,855973
1733002885,855973
1733002890,855973
1733002895,855973
1733002900,855973
1733002905,855973
1733002910,855973
1733002915,855973
1733002920,855973
1733002925,855973
1733002930,855973
1733002935,855973
1733002940,855973
1733002945,855973
1733002950,855973
1733002955,855973
1733002960,855973
1733002965,855973
1733002970,855973
1733002975,855973
1733002980,855973
1733002985,855973
1733002990,855973
1733002995,855973
1733003000,855973
1733003005,855973
1733003010,855973
1733003015,855973
1733003020,855973
1733003025,855973
1733003030,855973
1733003035,855973
1733003040,855973
1733003045,855973
1733003050,855973
1733003055,855973
1733003060,855973
1733003065,855973
1733003070,855973
1733003075,855973
1733003080,855973
1733003085,855973
1733003090,855973
1733003095,855973
1733003100,855973
1733003105,855973
1733003110,855973
1733003115,855973
1733003120,855973
1733003125,855973
1733003130,855973
1733003135,855973
1733003140,855973
1733003145,855973
1733003150,855973
1733003155,855973
1733003160,855973
1733003165,855973
1733003170,855973
1733003175,855973
1733003180,855973
1733003185,855973
1733003190,855973
1733003195,855973
1733003200,855973
1733003205,855973
1733003210,855973
1733003215,855973
1733003220,855973
1733003225,855973
1733003230,855973
1733003235,855973
1733003240,855973
1733003245,855973
1733003250,855973
1733003255,855973
1733003260,855973
1733003265,855973
1733003270,855973
1733003275,855973
1733003280,855973
1733003285,855973
1733003290,855973
1733003295,855973
1733003300,855973
1733003305,855973
1733003310,855973
1733003315,855973
1733003320,855973
1733003325,855973
1733003330,855973
1733003335,855973
1733003340,855973
1733003345,855973
1733003350,855973
1733003355,855973
1733003360,855973
1733003365,855973
1733003370,855973
1733003375,855973
1733003380,855973
1733003385,855973
1733003390,855973
1733003395,855973
1733003400,855973
1733003405,855973
1733003410,855973
1733003415,855973
1733003420,855973
1733003425,855973
1733003430,855973
1733003435,855973
1733003440,855973
1733003445,855973
1733003450,855973
1733003455,855973
1733003460,855973
1733003465,855973
1733003470,855973
1733003475,855973
1733003480,855973
1733003485,855973
1733003490,855973
1733003495,855973
1733003500,855973
1733003505,855973
1733003510,855973
1733003515,855973
1733003520,855973
1733003525,855973
1733003530,855973
1733003535,855973
1733003540,855973
1733003545,855973
1733003550,855973
1733003555,855973
1733003560,855973
1733003565,855973
1733003570,855973
1733003575,855973
1733003580,855973
1733003585,855973
1733003590,855973
1733003595,855973
1733003600,855973
1733003605,855973
1733003610,855973
1733003615,855973
1733003620,855973
1733003625,855973
1733003630,855973
1733003635,855973
1733003640,855973
1733003645,855973
1733003650,855973
1733003655,855973
1733003660,855973
1733003665,855973
1733003670,855973
1733003675,855973
1733003680,855973
1733003685,855973
1733003690,855973
1733003695,855973
1733003700,855973
1733003705,855973
1733003710,855973
1733003715,855973
1733003720,855973
1733003725,855973
1733003730,855973
1733003735,855973
1733003740,855973
1733003745,855973
1733003750,855973
1733003755,855973
1733003760,855973
1733003765,855973
1733003770,855973
1733003775,855973
1733003780,855973
1733003785,855973
1733003790,855973
1733003795,855973
1733003800,855973
1733003805,855973
1733003810,855973
1733003815,855973
1733003820,855973
1733003825,855973
1733003830,855973
1733003835,855973
1733003840,855973
1733003845,855973
1733003850,855973
1733003855,855973
1733003860,855973
1733003865,855973
1733003870,855973
1733003875,855973
1733003880,855973
1733003885,855973
1733003890,855973
1733003895,855973
1733003900,855973
1733003905,855973
1733003910,855973
1733003915,855973
1733003920,855973
1733003925,855973
1733003930,855973
1733003935,855973
1733003940,855973
1733003945,855973
1733003950,855973
1733003955,855973
1733003960,855973
1733003965,855973
1733003970,855973
1733003975,855973
1733003980,855973
1733003985,855973
1733003990,855973
1733003995,855973
1733004000,855973
1733004005,855973
1733004010,855973
1733004015,855973
1733004020,855973
1733004025,855973
1733004030,855973
1733004035,855973
1733004040,855973
1733004045,855973
1733004050,855973
1733004055,855973
1733004060,855973
1733004065,855973
1733004070,855973
1733004075,855973
1733004080,855973
1733004085,855973
1733004090,855973
1733004095,855973
1733004100,855973
1733004105,855973
1733004110,855973
1733004115,855973
1733004120,855973
1733004125,855973
1733004130,855973
1733004135,855973
1733004140,855973
1733004145,855973
1733004150,855973
1733004155,855973
1733004160,855973
1733004165,855973
1733004170,855973
1733004175,855973
1733004180,855973
1733004185,855973
1733004190,855973
1733004195,855973
1733004200,855973
1733004205,855973
1733004210,855973
1733004215,855973
1733004220,855973
1733004225,855973
1733004230,855973
1733004235,855973
1733004240,855973
1733004245,855973
1733004250,855973
1733004255,855973
1733004260,855973
1733004265,855973
1733004270,855973
1733004275,855973
1733004280,855973
1733004285,855973
1733004290,855973
1733004295,855973
1733004300,855973
1733004305,855973
1733004310,855973
1733004315,855973
1733004320,855973
1733004325,855973
1733004330,855973
1733004335,855973
1733004340,855973
1733004345,855973
1733004350,855973
1733004355,855973
1733004360,855973
1733004365,855973
1733004370,855973
1733004375,855973
1733004380,855973
1733004385,855973
1733004390,855973
1733004395,855973
1733004400,855973
1733004405,855973
1733004410,855973
1733004415,855973
1733004420,855973
1733004425,855973
1733004430,855973
1733004435,855973
1733004440,855973
1733004445,855973
1733004450,855973
1733004455,855973
1733004460,855973
1733004465,855973
1733004470,855973
1733004475,855973
1733004480,855973
1733004485,855973
1733004490,855973
1733004495,855973
1733004500,855973
1733004505,855973
1733004510,855973
1733004515,855973
1733004520,855973
1733004525,855973
1733004530,855973
1733004535,855973
1733004540,855973
1733004545,855973
1733004550,855973
1733004555,855973
1733004560,855973
1733004565,855973
1733004570,855973
1733004575,855973
1733004580,855973
1733004585,855973
1733004590,855973
1733004595,855973
1733004600,855973
1733004605,855973
1733004610,855973
1733004615,855973
1733004620,855973
1733004625,855973
1733004630,855973
1733004635,855973
1733004640,855973
1733004645,855973
1733004650,855973
1733004655,855973
1733004660,855973
1733004665,855973
1733004670,855973
1733004675,855973
1733004680,855973
1733004685,855973
1733004690,855973
1733004695,855973
1733004700,855973
1733004705,855973
1733004710,855973
1733004715,855973
1733004720,855973
1733004725,855973
1733004730,855973
1733004735,855973
1733004740,855973
1733004745,855973
1733004750,855973
1733004755,855973
1733004760,855973
1733004765,855973
1733004770,855973
1733004775,855973
1733004780,855973
1733004785,855973
1733004790,855973
1733004795,855973
1733004800,855973
1733004805,855973
1733004810,855973
1733004815,855973
1733004820,855973
1733004825,855973
1733004830,855973
1733004835,855973
1733004840,855973
1733004845,855973
1733004850,855973
1733004855,855973
1733004860,855973
1733004865,855973
1733004870,855973
1733004875,855973
1733004880,855973
1733004885,855973
1733004890,855973
1733004895,855973
1733004900,855973
1733004905,855973
1733004910,855973
1733004915,855973
1733004920,855973
1733004925,855973
1733004930,855973
1733004935,855973
1733004940,855973
1733004945,855973
1733004950,855973
1733004955,855973
1733004960,855973
1733004965,855973
1733004970,855973
1733004975,855973
1733004980,855973
1733004985,855973
1733004990,855973
1733004995,855973
1733005000,855973
1733005005,855973
1733005010,855973
1733005015,855973
1733005020,855973
1733005025,855973
1733005030,855973
1733005035,855973
1733005040,855973
1733005045,855973
1733005050,855973
1733005055,855973
