t,count,max,mean,min,stddev,p50,p75,p95,p98,p99,p999,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit,duration_unit
1732997351,1704,179.633624,0.337112,0.003917,5.764699,0.054645,0.070285,0.404093,1.269630,1.881082,175.674713,335.259825,334.800000,334.800000,334.800000,calls/second,milliseconds
1732997356,4245,43.119468,0.138185,0.003667,1.364670,0.050893,0.067317,0.179417,0.984574,1.553269,41.962661,424.006016,349.064076,337.748693,335.788363,calls/second,milliseconds
1732997361,6818,5.469693,0.098301,0.003807,0.302335,0.050341,0.067049,0.163766,0.912872,1.550608,5.444247,454.272442,362.315589,340.675093,336.780115,calls/second,milliseconds
1732997366,9440,5.228359,0.099331,0.003837,0.288912,0.050362,0.066743,0.163766,1.046967,1.555521,5.163837,471.340698,375.051268,343.665519,337.804045,calls/second,milliseconds
1732997371,11958,5.228359,0.094841,0.003938,0.279503,0.049930,0.065931,0.159393,0.915272,1.542334,5.150992,478.116584,385.393421,346.322226,338.727012,calls/second,milliseconds
1732997376,14443,5.228359,0.099403,0.003938,0.297337,0.049985,0.065946,0.162423,1.045649,1.550608,5.173650,481.148699,394.364964,348.822628,339.607192,calls/second,milliseconds
1732997381,17001,5.228359,0.099609,0.003968,0.289325,0.049891,0.065829,0.179002,1.041475,1.550608,5.150992,485.614961,403.850498,351.536241,340.567815,calls/second,milliseconds
1732997386,19579,6.423302,0.100942,0.003968,0.343719,0.049580,0.065443,0.162423,1.041475,1.550608,6.388649,489.397619,412.785494,354.247977,341.537520,calls/second,milliseconds
1732997391,21447,6.423302,0.101098,0.003968,0.347641,0.049424,0.065260,0.160676,1.041475,1.550608,6.388649,476.635871,412.785494,354.247977,341.537520,calls/second,milliseconds
1732997396,21447,6.423302,0.101098,0.003968,0.347641,0.049424,0.065260,0.160676,1.041475,1.550608,6.388649,428.912955,376.957248,348.720351,339.826405,calls/second,milliseconds
1732997401,21447,6.423302,0.101098,0.003968,0.347641,0.049424,0.065260,0.160676,1.041475,1.550608,6.388649,389.968003,376.957248,348.720351,339.826405,calls/second,milliseconds
1732997406,21447,6.423302,0.101098,0.003968,0.347641,0.049424,0.065260,0.160676,1.041475,1.550608,6.388649,357.474808,346.817411,342.956510,337.943715,calls/second,milliseconds
1732997411,21447,6.423302,0.101098,0.003968,0.347641,0.049424,0.065260,0.160676,1.041475,1.550608,6.388649,329.989917,319.087422,337.287938,336.071455,calls/second,milliseconds
1732997416,21447,6.423302,0.101098,0.003968,0.347641,0.049424,0.065260,0.160676,1.041475,1.550608,6.388649,306.385495,270.101671,326.230324,332.357996,calls/second,milliseconds
1732997421,21447,6.423302,0.101098,0.003968,0.347641,0.049424,0.065260,0.160676,1.041475,1.550608,6.388649,285.955065,248.505534,320.838211,330.516683,calls/second,milliseconds
1732997426,21447,6.423302,0.101098,0.003968,0.347641,0.049424,0.065260,0.160676,1.041475,1.550608,6.388649,268.107201,248.505534,320.838211,330.516683,calls/second,milliseconds
1732997431,21447,6.423302,0.101098,0.003968,0.347641,0.049424,0.065260,0.160676,1.041475,1.550608,6.388649,252.329620,228.636129,315.535222,328.685570,calls/second,milliseconds
1732997436,21447,6.423302,0.101098,0.003968,0.347641,0.049424,0.065260,0.160676,1.041475,1.550608,6.388649,238.324417,210.355393,310.319883,326.864602,calls/second,milliseconds
1732997441,21447,6.423302,0.101098,0.003968,0.347641,0.049424,0.065260,0.160676,1.041475,1.550608,6.388649,225.774769,193.536304,305.190747,325.053722,calls/second,milliseconds
1732997446,21447,6.423302,0.101098,0.003968,0.347641,0.049424,0.065260,0.160676,1.041475,1.550608,6.388649,214.488264,178.061996,300.146388,323.252875,calls/second,milliseconds
1732997451,21447,6.423302,0.101098,0.003968,0.347641,0.049424,0.065260,0.160676,1.041475,1.550608,6.388649,204.273806,163.824945,295.185404,321.462005,calls/second,milliseconds
1732997456,21447,6.423302,0.101098,0.003968,0.347641,0.049424,0.065260,0.160676,1.041475,1.550608,6.388649,194.971778,138.674822,285.508075,317.909975,calls/second,milliseconds
1732997461,21447,6.423302,0.101098,0.003968,0.347641,0.049424,0.065260,0.160676,1.041475,1.550608,6.388649,186.500717,138.674822,285.508075,317.909975,calls/second,milliseconds
1732997466,21447,6.423302,0.101098,0.003968,0.347641,0.049424,0.065260,0.160676,1.041475,1.550608,6.388649,178.737832,127.586995,280.789042,316.148706,calls/second,milliseconds
1732997471,21447,6.423302,0.101098,0.003968,0.347641,0.049424,0.065260,0.160676,1.041475,1.550608,6.388649,171.587007,117.385702,276.148007,314.397194,calls/second,milliseconds
1732997476,21447,6.423302,0.101098,0.003968,0.347641,0.049424,0.065260,0.160676,1.041475,1.550608,6.388649,164.991930,108.000060,271.583682,312.655385,calls/second,milliseconds
1732997481,21447,6.423302,0.101098,0.003968,0.347641,0.049424,0.065260,0.160676,1.041475,1.550608,6.388649,158.876703,99.364852,267.094799,310.923227,calls/second,milliseconds
1732997486,21447,6.423302,0.101098,0.003968,0.347641,0.049424,0.065260,0.160676,1.041475,1.550608,6.388649,153.205556,91.420077,262.680110,309.200665,calls/second,milliseconds
1732997491,21447,6.423302,0.101098,0.003968,0.347641,0.049424,0.065260,0.160676,1.041475,1.550608,6.388649,147.922854,84.110531,258.338390,307.487647,calls/second,milliseconds
1732997496,21447,6.423302,0.101098,0.003968,0.347641,0.049424,0.065260,0.160676,1.041475,1.550608,6.388649,142.992529,77.385424,254.068432,305.784118,calls/second,milliseconds
1732997501,21447,6.423302,0.101098,0.003968,0.347641,0.049424,0.065260,0.160676,1.041475,1.550608,6.388649,138.377948,71.198028,249.869050,304.090028,calls/second,milliseconds
1732997506,21447,6.423302,0.101098,0.003968,0.347641,0.049424,0.065260,0.160676,1.041475,1.550608,6.388649,134.052611,65.505348,245.739078,302.405323,calls/second,milliseconds
1732997511,21447,6.423302,0.101098,0.003968,0.347641,0.049424,0.065260,0.160676,1.041475,1.550608,6.388649,129.991460,60.267829,241.677368,300.729951,calls/second,milliseconds
1732997516,21447,6.423302,0.101098,0.003968,0.347641,0.049424,0.065260,0.160676,1.041475,1.550608,6.388649,126.167706,55.449080,237.682793,299.063862,calls/second,milliseconds
