t,count
1732997351,36668
1732997356,85077
1732997361,133160
1732997366,181827
1732997371,230426
1732997376,282336
1732997381,337227
1732997386,387984
1732997391,427987
1732997396,427987
1732997401,427987
1732997406,427987
1732997411,427987
1732997416,427987
1732997421,427987
1732997426,427987
1732997431,427987
1732997436,427987
1732997441,427987
1732997446,427987
1732997451,427987
1732997456,427987
1732997461,427987
1732997466,427987
1732997471,427987
1732997476,427987
1732997481,427987
1732997486,427987
1732997491,427987
1732997496,427987
1732997501,427987
1732997506,427987
1732997511,427987
1732997516,427987
1732997521,427987
1732997526,427987
1732997531,427987
1732997536,427987
1732997541,427987
1732997546,427987
1732997551,427987
1732997556,427987
1732997561,427987
1732997566,427987
1732997571,427987
1732997576,427987
1732997581,427987
1732997586,427987
1732997591,427987
1732997596,427987
1732997601,427987
1732997606,427987
1732997611,427987
1732997616,427987
1732997621,427987
1732997626,427987
1732997631,427987
1732997636,427987
1732997641,427987
1732997646,427987
1732997651,427987
1732997656,427987
1732997661,427987
1732997666,427987
1732997671,427987
1732997676,427987
1732997681,427987
1732997686,427987
1732997691,427987
1732997696,427987
1732997701,427987
1732997706,427987
