t,count,max,mean,min,stddev,p50,p75,p95,p98,p99,p999,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit,duration_unit
1732997351,4652,0.295506,0.005465,0.000080,0.017289,0.003016,0.004877,0.014393,0.021779,0.027973,0.293956,916.561553,930.400000,930.400000,930.400000,calls/second,milliseconds
1732997356,4652,0.295506,0.005465,0.000080,0.017289,0.003016,0.004877,0.014393,0.021779,0.027973,0.293956,464.957938,856.009323,915.021841,925.245443,calls/second,milliseconds
1732997361,4652,0.295506,0.005465,0.000080,0.017289,0.003016,0.004877,0.014393,0.021779,0.027973,0.293956,310.197980,856.009323,915.021841,925.245443,calls/second,milliseconds
1732997366,4652,0.295506,0.005465,0.000080,0.017289,0.003016,0.004877,0.014393,0.021779,0.027973,0.293956,232.419096,724.596249,885.023857,915.021841,calls/second,milliseconds
1732997371,4652,0.295506,0.005465,0.000080,0.017289,0.003016,0.004877,0.014393,0.021779,0.027973,0.293956,186.089541,724.596249,885.023857,915.021841,calls/second,milliseconds
1732997376,4652,0.295506,0.005465,0.000080,0.017289,0.003016,0.004877,0.014393,0.021779,0.027973,0.293956,155.032935,613.357482,856.009323,904.911206,calls/second,milliseconds
1732997381,4652,0.295506,0.005465,0.000080,0.017289,0.003016,0.004877,0.014393,0.021779,0.027973,0.293956,132.935969,613.357482,856.009323,904.911206,calls/second,milliseconds
1732997386,4652,0.295506,0.005465,0.000080,0.017289,0.003016,0.004877,0.014393,0.021779,0.027973,0.293956,116.312111,564.316126,841.860734,899.897860,calls/second,milliseconds
1732997391,4652,0.295506,0.005465,0.000080,0.017289,0.003016,0.004877,0.014393,0.021779,0.027973,0.293956,103.416585,519.195900,827.946000,894.912289,calls/second,milliseconds
1732997396,4652,0.295506,0.005465,0.000080,0.017289,0.003016,0.004877,0.014393,0.021779,0.027973,0.293956,93.056686,477.683288,814.261256,889.954339,calls/second,milliseconds
1732997401,4652,0.295506,0.005465,0.000080,0.017289,0.003016,0.004877,0.014393,0.021779,0.027973,0.293956,84.606157,439.489841,800.802701,885.023857,calls/second,milliseconds
1732997406,4652,0.295506,0.005465,0.000080,0.017289,0.003016,0.004877,0.014393,0.021779,0.027973,0.293956,77.554687,404.350173,787.566597,880.120690,calls/second,milliseconds
1732997411,4652,0.295506,0.005465,0.000080,0.017289,0.003016,0.004877,0.014393,0.021779,0.027973,0.293956,71.590899,372.020118,774.549266,875.244687,calls/second,milliseconds
1732997416,4652,0.295506,0.005465,0.000080,0.017289,0.003016,0.004877,0.014393,0.021779,0.027973,0.293956,66.468778,342.275032,761.747093,870.395699,calls/second,milliseconds
1732997421,4652,0.295506,0.005465,0.000080,0.017289,0.003016,0.004877,0.014393,0.021779,0.027973,0.293956,62.036496,314.908232,749.156521,865.573574,calls/second,milliseconds
1732997426,4652,0.295506,0.005465,0.000080,0.017289,0.003016,0.004877,0.014393,0.021779,0.027973,0.293956,58.163415,289.729560,736.774053,860.778165,calls/second,milliseconds
1732997431,4652,0.295506,0.005465,0.000080,0.017289,0.003016,0.004877,0.014393,0.021779,0.027973,0.293956,54.740545,266.564063,724.596249,856.009323,calls/second,milliseconds
1732997436,4652,0.295506,0.005465,0.000080,0.017289,0.003016,0.004877,0.014393,0.021779,0.027973,0.293956,51.702058,245.250777,712.619726,851.266902,calls/second,milliseconds
1732997441,4652,0.295506,0.005465,0.000080,0.017289,0.003016,0.004877,0.014393,0.021779,0.027973,0.293956,48.978770,225.641608,700.841158,846.550754,calls/second,milliseconds
1732997446,4652,0.295506,0.005465,0.000080,0.017289,0.003016,0.004877,0.014393,0.021779,0.027973,0.293956,46.530529,207.600301,689.257273,841.860734,calls/second,milliseconds
1732997451,4652,0.295506,0.005465,0.000080,0.017289,0.003016,0.004877,0.014393,0.021779,0.027973,0.293956,44.314257,191.001497,677.864852,837.196697,calls/second,milliseconds
1732997456,4652,0.295506,0.005465,0.000080,0.017289,0.003016,0.004877,0.014393,0.021779,0.027973,0.293956,42.295787,175.729861,666.660731,832.558500,calls/second,milliseconds
1732997461,4652,0.295506,0.005465,0.000080,0.017289,0.003016,0.004877,0.014393,0.021779,0.027973,0.293956,40.457579,161.679277,655.641799,827.946000,calls/second,milliseconds
1732997466,4652,0.295506,0.005465,0.000080,0.017289,0.003016,0.004877,0.014393,0.021779,0.027973,0.293956,38.773601,148.752116,644.804993,823.359053,calls/second,milliseconds
1732997471,4652,0.295506,0.005465,0.000080,0.017289,0.003016,0.004877,0.014393,0.021779,0.027973,0.293956,37.222585,136.858553,634.147304,818.797519,calls/second,milliseconds
1732997476,4652,0.295506,0.005465,0.000080,0.017289,0.003016,0.004877,0.014393,0.021779,0.027973,0.293956,35.791649,125.915948,623.665771,814.261256,calls/second,milliseconds
1732997481,4652,0.295506,0.005465,0.000080,0.017289,0.003016,0.004877,0.014393,0.021779,0.027973,0.293956,34.464978,115.848264,613.357482,809.750125,calls/second,milliseconds
1732997486,4652,0.295506,0.005465,0.000080,0.017289,0.003016,0.004877,0.014393,0.021779,0.027973,0.293956,33.234559,106.585548,603.219575,805.263986,calls/second,milliseconds
1732997491,4652,0.295506,0.005465,0.000080,0.017289,0.003016,0.004877,0.014393,0.021779,0.027973,0.293956,32.088565,98.063439,593.249232,800.802701,calls/second,milliseconds
1732997496,4652,0.295506,0.005465,0.000080,0.017289,0.003016,0.004877,0.014393,0.021779,0.027973,0.293956,31.018947,90.222719,583.443685,796.366133,calls/second,milliseconds
1732997501,4652,0.295506,0.005465,0.000080,0.017289,0.003016,0.004877,0.014393,0.021779,0.027973,0.293956,30.017830,83.008909,573.800209,791.954143,calls/second,milliseconds
1732997506,4652,0.295506,0.005465,0.000080,0.017289,0.003016,0.004877,0.014393,0.021779,0.027973,0.293956,29.079374,76.371883,564.316126,787.566597,calls/second,milliseconds
1732997511,4652,0.295506,0.005465,0.000080,0.017289,0.003016,0.004877,0.014393,0.021779,0.027973,0.293956,28.198449,70.265524,554.988801,783.203358,calls/second,milliseconds
1732997516,4652,0.295506,0.005465,0.000080,0.017289,0.003016,0.004877,0.014393,0.021779,0.027973,0.293956,27.368856,64.647403,545.815643,778.864293,calls/second,milliseconds
1732997521,4652,0.295506,0.005465,0.000080,0.017289,0.003016,0.004877,0.014393,0.021779,0.027973,0.293956,26.586863,59.478482,536.794104,774.549266,calls/second,milliseconds
1732997526,4652,0.295506,0.005465,0.000080,0.017289,0.003016,0.004877,0.014393,0.021779,0.027973,0.293956,25.848158,54.722845,527.921677,770.258145,calls/second,milliseconds
1732997531,4652,0.295506,0.005465,0.000080,0.017289,0.003016,0.004877,0.014393,0.021779,0.027973,0.293956,25.149522,50.347448,519.195900,765.990798,calls/second,milliseconds
1732997536,4652,0.295506,0.005465,0.000080,0.017289,0.003016,0.004877,0.014393,0.021779,0.027973,0.293956,24.487600,46.321888,510.614346,761.747093,calls/second,milliseconds
1732997541,4652,0.295506,0.005465,0.000080,0.017289,0.003016,0.004877,0.014393,0.021779,0.027973,0.293956,23.859308,42.618195,502.174633,757.526898,calls/second,milliseconds
1732997546,4652,0.295506,0.005465,0.000080,0.017289,0.003016,0.004877,0.014393,0.021779,0.027973,0.293956,23.263036,39.210632,493.874417,753.330084,calls/second,milliseconds
1732997551,4652,0.295506,0.005465,0.000080,0.017289,0.003016,0.004877,0.014393,0.021779,0.027973,0.293956,22.695708,36.075523,485.711391,749.156521,calls/second,milliseconds
1732997556,4652,0.295506,0.005465,0.000080,0.017289,0.003016,0.004877,0.014393,0.021779,0.027973,0.293956,22.155286,33.191083,477.683288,745.006080,calls/second,milliseconds
1732997561,4652,0.295506,0.005465,0.000080,0.017289,0.003016,0.004877,0.014393,0.021779,0.027973,0.293956,21.639861,30.537271,469.787877,740.878633,calls/second,milliseconds
1732997566,4652,0.295506,0.005465,0.000080,0.017289,0.003016,0.004877,0.014393,0.021779,0.027973,0.293956,21.147331,28.095646,462.022967,736.774053,calls/second,milliseconds
1732997571,4652,0.295506,0.005465,0.000080,0.017289,0.003016,0.004877,0.014393,0.021779,0.027973,0.293956,20.677787,25.849242,454.386399,732.692212,calls/second,milliseconds
1732997576,4652,0.295506,0.005465,0.000080,0.017289,0.003016,0.004877,0.014393,0.021779,0.027973,0.293956,20.228462,23.782450,446.876052,728.632986,calls/second,milliseconds
1732997581,4652,0.295506,0.005465,0.000080,0.017289,0.003016,0.004877,0.014393,0.021779,0.027973,0.293956,19.795207,20.131410,432.225713,720.581875,calls/second,milliseconds
1732997586,4652,0.295506,0.005465,0.000080,0.017289,0.003016,0.004877,0.014393,0.021779,0.027973,0.293956,19.385603,20.131410,432.225713,720.581875,calls/second,milliseconds
1732997591,4652,0.295506,0.005465,0.000080,0.017289,0.003016,0.004877,0.014393,0.021779,0.027973,0.293956,18.989662,18.521791,425.081650,716.589742,calls/second,milliseconds
1732997596,4652,0.295506,0.005465,0.000080,0.017289,0.003016,0.004877,0.014393,0.021779,0.027973,0.293956,18.609900,17.040870,418.055668,712.619726,calls/second,milliseconds
1732997601,4652,0.295506,0.005465,0.000080,0.017289,0.003016,0.004877,0.014393,0.021779,0.027973,0.293956,18.245057,15.678358,411.145816,708.671704,calls/second,milliseconds
1732997606,4652,0.295506,0.005465,0.000080,0.017289,0.003016,0.004877,0.014393,0.021779,0.027973,0.293956,17.894093,14.424785,404.350173,704.745555,calls/second,milliseconds
1732997611,4652,0.295506,0.005465,0.000080,0.017289,0.003016,0.004877,0.014393,0.021779,0.027973,0.293956,17.556498,13.271443,397.666853,700.841158,calls/second,milliseconds
1732997616,4652,0.295506,0.005465,0.000080,0.017289,0.003016,0.004877,0.014393,0.021779,0.027973,0.293956,17.231323,12.210317,391.093998,696.958391,calls/second,milliseconds
1732997621,4652,0.295506,0.005465,0.000080,0.017289,0.003016,0.004877,0.014393,0.021779,0.027973,0.293956,16.918010,11.234034,384.629783,693.097136,calls/second,milliseconds
1732997626,4652,0.295506,0.005465,0.000080,0.017289,0.003016,0.004877,0.014393,0.021779,0.027973,0.293956,16.615980,10.335810,378.272411,689.257273,calls/second,milliseconds
1732997631,4652,0.295506,0.005465,0.000080,0.017289,0.003016,0.004877,0.014393,0.021779,0.027973,0.293956,16.324297,9.509405,372.020118,685.438682,calls/second,milliseconds
1732997636,4652,0.295506,0.005465,0.000080,0.017289,0.003016,0.004877,0.014393,0.021779,0.027973,0.293956,16.042808,8.749075,365.871167,681.641248,calls/second,milliseconds
1732997641,4652,0.295506,0.005465,0.000080,0.017289,0.003016,0.004877,0.014393,0.021779,0.027973,0.293956,15.770972,8.049537,359.823848,677.864852,calls/second,milliseconds
1732997646,4652,0.295506,0.005465,0.000080,0.017289,0.003016,0.004877,0.014393,0.021779,0.027973,0.293956,15.508089,7.405932,353.876483,674.109378,calls/second,milliseconds
1732997651,4652,0.295506,0.005465,0.000080,0.017289,0.003016,0.004877,0.014393,0.021779,0.027973,0.293956,15.253770,6.813786,348.027419,670.374709,calls/second,milliseconds
1732997656,4652,0.295506,0.005465,0.000080,0.017289,0.003016,0.004877,0.014393,0.021779,0.027973,0.293956,15.007748,6.268986,342.275032,666.660731,calls/second,milliseconds
1732997661,4652,0.295506,0.005465,0.000080,0.017289,0.003016,0.004877,0.014393,0.021779,0.027973,0.293956,14.769267,5.767745,336.617723,662.967330,calls/second,milliseconds
1732997666,4652,0.295506,0.005465,0.000080,0.017289,0.003016,0.004877,0.014393,0.021779,0.027973,0.293956,14.538499,5.306582,331.053922,659.294390,calls/second,milliseconds
1732997671,4652,0.295506,0.005465,0.000080,0.017289,0.003016,0.004877,0.014393,0.021779,0.027973,0.293956,14.314606,4.882291,325.582082,655.641799,calls/second,milliseconds
1732997676,4652,0.295506,0.005465,0.000080,0.017289,0.003016,0.004877,0.014393,0.021779,0.027973,0.293956,14.097828,4.491925,320.200683,652.009443,calls/second,milliseconds
1732997681,4652,0.295506,0.005465,0.000080,0.017289,0.003016,0.004877,0.014393,0.021779,0.027973,0.293956,13.887574,4.132770,314.908232,648.397212,calls/second,milliseconds
1732997686,4652,0.295506,0.005465,0.000080,0.017289,0.003016,0.004877,0.014393,0.021779,0.027973,0.293956,13.683329,3.802332,309.703256,644.804993,calls/second,milliseconds
1732997691,4652,0.295506,0.005465,0.000080,0.017289,0.003016,0.004877,0.014393,0.021779,0.027973,0.293956,13.484764,3.498314,304.584312,641.232675,calls/second,milliseconds
1732997696,4652,0.295506,0.005465,0.000080,0.017289,0.003016,0.004877,0.014393,0.021779,0.027973,0.293956,13.292383,3.218605,299.549976,637.680149,calls/second,milliseconds
1732997701,4652,0.295506,0.005465,0.000080,0.017289,0.003016,0.004877,0.014393,0.021779,0.027973,0.293956,13.105052,2.961259,294.598850,634.147304,calls/second,milliseconds
1732997706,4652,0.295506,0.005465,0.000080,0.017289,0.003016,0.004877,0.014393,0.021779,0.027973,0.293956,12.922771,2.724490,289.729560,630.634031,calls/second,milliseconds
