t,count
1732997351,93001
1732997356,93001
1732997361,93001
1732997366,93001
1732997371,93001
1732997376,93001
1732997381,93001
1732997386,93001
1732997391,93001
1732997396,93001
1732997401,93001
1732997406,93001
1732997411,93001
1732997416,93001
1732997421,93001
1732997426,93001
1732997431,93001
1732997436,93001
1732997441,93001
1732997446,93001
1732997451,93001
1732997456,93001
1732997461,93001
1732997466,93001
1732997471,93001
1732997476,93001
1732997481,93001
1732997486,93001
1732997491,93001
1732997496,93001
1732997501,93001
1732997506,93001
1732997511,93001
1732997516,93001
1732997521,93001
1732997526,93001
1732997531,93001
1732997536,93001
1732997541,93001
1732997546,93001
1732997551,93001
1732997556,93001
1732997561,93001
1732997566,93001
1732997571,93001
1732997576,93001
1732997581,93001
1732997586,93001
1732997591,93001
1732997596,93001
1732997601,93001
1732997606,93001
1732997611,93001
1732997616,93001
1732997621,93001
1732997626,93001
1732997631,93001
1732997636,93001
1732997641,93001
1732997646,93001
1732997651,93001
1732997656,93001
1732997661,93001
1732997666,93001
1732997671,93001
1732997676,93001
1732997681,93001
1732997686,93001
1732997691,93001
1732997696,93001
1732997701,93001
1732997706,93001
