t,count,max,mean,min,stddev,p50,p75,p95,p98,p99,p999,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit,duration_unit
1732997351,3889,94.056281,0.121879,0.001352,2.933181,0.020780,0.025276,0.070208,0.128961,0.412806,91.356939,762.073894,777.800000,777.800000,777.800000,calls/second,milliseconds
1732997356,3889,94.056281,0.121879,0.001352,2.933181,0.020780,0.025276,0.070208,0.128961,0.412806,91.356939,387.680246,715.610546,764.944097,773.490870,calls/second,milliseconds
1732997361,3889,94.056281,0.121879,0.001352,2.933181,0.020780,0.025276,0.070208,0.128961,0.412806,91.356939,258.859959,658.393486,752.300683,769.205613,calls/second,milliseconds
1732997366,3889,94.056281,0.121879,0.001352,2.933181,0.020780,0.025276,0.070208,0.128961,0.412806,91.356939,194.047635,605.751249,739.866246,764.944097,calls/second,milliseconds
1732997371,3889,94.056281,0.121879,0.001352,2.933181,0.020780,0.025276,0.070208,0.128961,0.412806,91.356939,155.405572,557.318053,727.637333,760.706190,calls/second,milliseconds
1732997376,3889,94.056281,0.121879,0.001352,2.933181,0.020780,0.025276,0.070208,0.128961,0.412806,91.356939,129.492779,512.757362,715.610546,756.491762,calls/second,milliseconds
1732997381,3889,94.056281,0.121879,0.001352,2.933181,0.020780,0.025276,0.070208,0.128961,0.412806,91.356939,111.050167,471.759547,703.782544,752.300683,calls/second,milliseconds
1732997386,3889,94.056281,0.121879,0.001352,2.933181,0.020780,0.025276,0.070208,0.128961,0.412806,91.356939,97.172018,434.039736,692.150041,748.132823,calls/second,milliseconds
1732997391,3889,94.056281,0.121879,0.001352,2.933181,0.020780,0.025276,0.070208,0.128961,0.412806,91.356939,86.405697,399.335835,680.709808,743.988053,calls/second,milliseconds
1732997396,3889,94.056281,0.121879,0.001352,2.933181,0.020780,0.025276,0.070208,0.128961,0.412806,91.356939,77.754393,367.406705,669.458664,739.866246,calls/second,milliseconds
1732997401,3889,94.056281,0.121879,0.001352,2.933181,0.020780,0.025276,0.070208,0.128961,0.412806,91.356939,70.697011,338.030487,658.393486,735.767275,calls/second,milliseconds
1732997406,3889,94.056281,0.121879,0.001352,2.933181,0.020780,0.025276,0.070208,0.128961,0.412806,91.356939,64.806858,311.003061,647.511198,731.691012,calls/second,milliseconds
1732997411,3889,94.056281,0.121879,0.001352,2.933181,0.020780,0.025276,0.070208,0.128961,0.412806,91.356939,59.825440,286.136629,636.808780,727.637333,calls/second,milliseconds
1732997416,3889,94.056281,0.121879,0.001352,2.933181,0.020780,0.025276,0.070208,0.128961,0.412806,91.356939,55.546938,263.258408,626.283256,723.606112,calls/second,milliseconds
1732997421,3889,94.056281,0.121879,0.001352,2.933181,0.020780,0.025276,0.070208,0.128961,0.412806,91.356939,51.844489,242.209428,615.931705,719.597224,calls/second,milliseconds
1732997426,3889,94.056281,0.121879,0.001352,2.933181,0.020780,0.025276,0.070208,0.128961,0.412806,91.356939,48.608354,222.843431,605.751249,715.610546,calls/second,milliseconds
1732997431,3889,94.056281,0.121879,0.001352,2.933181,0.020780,0.025276,0.070208,0.128961,0.412806,91.356939,45.748596,205.025854,595.739062,711.645955,calls/second,milliseconds
1732997436,3889,94.056281,0.121879,0.001352,2.933181,0.020780,0.025276,0.070208,0.128961,0.412806,91.356939,43.209774,188.632892,585.892361,707.703328,calls/second,milliseconds
1732997441,3889,94.056281,0.121879,0.001352,2.933181,0.020780,0.025276,0.070208,0.128961,0.412806,91.356939,40.934633,173.550639,576.208412,703.782544,calls/second,milliseconds
1732997446,3889,94.056281,0.121879,0.001352,2.933181,0.020780,0.025276,0.070208,0.128961,0.412806,91.356939,38.888901,159.674296,566.684525,699.883481,calls/second,milliseconds
1732997451,3889,94.056281,0.121879,0.001352,2.933181,0.020780,0.025276,0.070208,0.128961,0.412806,91.356939,37.037208,146.907444,557.318053,696.006021,calls/second,milliseconds
1732997456,3889,94.056281,0.121879,0.001352,2.933181,0.020780,0.025276,0.070208,0.128961,0.412806,91.356939,35.350665,135.161373,548.106396,692.150041,calls/second,milliseconds
1732997461,3889,94.056281,0.121879,0.001352,2.933181,0.020780,0.025276,0.070208,0.128961,0.412806,91.356939,33.814522,124.354467,539.046994,688.315425,calls/second,milliseconds
1732997466,3889,94.056281,0.121879,0.001352,2.933181,0.020780,0.025276,0.070208,0.128961,0.412806,91.356939,32.407295,114.411632,530.137331,684.502053,calls/second,milliseconds
1732997471,3889,94.056281,0.121879,0.001352,2.933181,0.020780,0.025276,0.070208,0.128961,0.412806,91.356939,31.111305,105.263783,521.374932,680.709808,calls/second,milliseconds
1732997476,3889,94.056281,0.121879,0.001352,2.933181,0.020780,0.025276,0.070208,0.128961,0.412806,91.356939,29.915577,105.263783,521.374932,680.709808,calls/second,milliseconds
1732997481,3889,94.056281,0.121879,0.001352,2.933181,0.020780,0.025276,0.070208,0.128961,0.412806,91.356939,28.806930,89.103869,504.282228,673.188229,calls/second,milliseconds
1732997486,3889,94.056281,0.121879,0.001352,2.933181,0.020780,0.025276,0.070208,0.128961,0.412806,91.356939,27.778635,89.103869,504.282228,673.188229,calls/second,milliseconds
1732997491,3889,94.056281,0.121879,0.001352,2.933181,0.020780,0.025276,0.070208,0.128961,0.412806,91.356939,26.820999,81.979517,495.947176,669.458664,calls/second,milliseconds
1732997496,3889,94.056281,0.121879,0.001352,2.933181,0.020780,0.025276,0.070208,0.128961,0.412806,91.356939,25.927122,75.424797,487.749891,665.749761,calls/second,milliseconds
1732997501,3889,94.056281,0.121879,0.001352,2.933181,0.020780,0.025276,0.070208,0.128961,0.412806,91.356939,25.090470,69.394163,479.688094,662.061406,calls/second,milliseconds
1732997506,3889,94.056281,0.121879,0.001352,2.933181,0.020780,0.025276,0.070208,0.128961,0.412806,91.356939,24.306161,58.740891,463.962048,654.745886,calls/second,milliseconds
1732997511,3889,94.056281,0.121879,0.001352,2.933181,0.020780,0.025276,0.070208,0.128961,0.412806,91.356939,23.569893,58.740891,463.962048,654.745886,calls/second,milliseconds
1732997516,3889,94.056281,0.121879,0.001352,2.933181,0.020780,0.025276,0.070208,0.128961,0.412806,91.356939,22.876608,54.044228,456.293430,651.118494,calls/second,milliseconds
1732997521,3889,94.056281,0.121879,0.001352,2.933181,0.020780,0.025276,0.070208,0.128961,0.412806,91.356939,22.223010,49.723090,448.751563,647.511198,calls/second,milliseconds
1732997526,3889,94.056281,0.121879,0.001352,2.933181,0.020780,0.025276,0.070208,0.128961,0.412806,91.356939,21.605672,45.747452,441.334352,643.923888,calls/second,milliseconds
1732997531,3889,94.056281,0.121879,0.001352,2.933181,0.020780,0.025276,0.070208,0.128961,0.412806,91.356939,21.021788,42.089687,434.039736,640.356452,calls/second,milliseconds
1732997536,3889,94.056281,0.121879,0.001352,2.933181,0.020780,0.025276,0.070208,0.128961,0.412806,91.356939,20.468576,38.724382,426.865691,636.808780,calls/second,milliseconds
1732997541,3889,94.056281,0.121879,0.001352,2.933181,0.020780,0.025276,0.070208,0.128961,0.412806,91.356939,19.943486,32.779481,412.871369,629.772291,calls/second,milliseconds
1732997546,3889,94.056281,0.121879,0.001352,2.933181,0.020780,0.025276,0.070208,0.128961,0.412806,91.356939,19.445121,32.779481,412.871369,629.772291,calls/second,milliseconds
1732997551,3889,94.056281,0.121879,0.001352,2.933181,0.020780,0.025276,0.070208,0.128961,0.412806,91.356939,18.970973,30.158579,406.047205,626.283256,calls/second,milliseconds
1732997556,3889,94.056281,0.121879,0.001352,2.933181,0.020780,0.025276,0.070208,0.128961,0.412806,91.356939,18.519310,27.747232,399.335835,622.813552,calls/second,milliseconds
1732997561,3889,94.056281,0.121879,0.001352,2.933181,0.020780,0.025276,0.070208,0.128961,0.412806,91.356939,18.088522,25.528686,392.735394,619.363070,calls/second,milliseconds
1732997566,3889,94.056281,0.121879,0.001352,2.933181,0.020780,0.025276,0.070208,0.128961,0.412806,91.356939,17.676862,21.609566,379.859997,612.519349,calls/second,milliseconds
1732997571,3889,94.056281,0.121879,0.001352,2.933181,0.020780,0.025276,0.070208,0.128961,0.412806,91.356939,17.284408,19.881761,373.581463,609.125899,calls/second,milliseconds
1732997576,3889,94.056281,0.121879,0.001352,2.933181,0.020780,0.025276,0.070208,0.128961,0.412806,91.356939,16.908877,19.881761,373.581463,609.125899,calls/second,milliseconds
1732997581,3889,94.056281,0.121879,0.001352,2.933181,0.020780,0.025276,0.070208,0.128961,0.412806,91.356939,16.546664,16.829547,361.334006,602.395295,calls/second,milliseconds
1732997586,3889,94.056281,0.121879,0.001352,2.933181,0.020780,0.025276,0.070208,0.128961,0.412806,91.356939,16.204400,16.829547,361.334006,602.395295,calls/second,milliseconds
1732997591,3889,94.056281,0.121879,0.001352,2.933181,0.020780,0.025276,0.070208,0.128961,0.412806,91.356939,15.873476,15.483931,355.361680,599.057934,calls/second,milliseconds
1732997596,3889,94.056281,0.121879,0.001352,2.933181,0.020780,0.025276,0.070208,0.128961,0.412806,91.356939,15.556050,14.245904,349.488068,595.739062,calls/second,milliseconds
1732997601,3889,94.056281,0.121879,0.001352,2.933181,0.020780,0.025276,0.070208,0.128961,0.412806,91.356939,15.251116,13.106864,343.711539,592.438577,calls/second,milliseconds
1732997606,3889,94.056281,0.121879,0.001352,2.933181,0.020780,0.025276,0.070208,0.128961,0.412806,91.356939,14.957761,12.058897,338.030487,589.156377,calls/second,milliseconds
1732997611,3889,94.056281,0.121879,0.001352,2.933181,0.020780,0.025276,0.070208,0.128961,0.412806,91.356939,14.675551,11.094721,332.443334,585.892361,calls/second,milliseconds
1732997616,3889,94.056281,0.121879,0.001352,2.933181,0.020780,0.025276,0.070208,0.128961,0.412806,91.356939,14.403794,10.207636,326.948529,582.646428,calls/second,milliseconds
1732997621,3889,94.056281,0.121879,0.001352,2.933181,0.020780,0.025276,0.070208,0.128961,0.412806,91.356939,14.141923,9.391479,321.544545,579.418478,calls/second,milliseconds
1732997626,3889,94.056281,0.121879,0.001352,2.933181,0.020780,0.025276,0.070208,0.128961,0.412806,91.356939,13.889471,8.640578,316.229881,576.208412,calls/second,milliseconds
1732997631,3889,94.056281,0.121879,0.001352,2.933181,0.020780,0.025276,0.070208,0.128961,0.412806,91.356939,13.645677,7.949715,311.003061,573.016130,calls/second,milliseconds
1732997636,3889,94.056281,0.121879,0.001352,2.933181,0.020780,0.025276,0.070208,0.128961,0.412806,91.356939,13.410401,7.314091,305.862633,569.841533,calls/second,milliseconds
1732997641,3889,94.056281,0.121879,0.001352,2.933181,0.020780,0.025276,0.070208,0.128961,0.412806,91.356939,13.183180,6.729289,300.807168,566.684525,calls/second,milliseconds
1732997646,3889,94.056281,0.121879,0.001352,2.933181,0.020780,0.025276,0.070208,0.128961,0.412806,91.356939,12.963457,6.191244,295.835263,563.545006,calls/second,milliseconds
1732997651,3889,94.056281,0.121879,0.001352,2.933181,0.020780,0.025276,0.070208,0.128961,0.412806,91.356939,12.750874,5.696220,290.945536,560.422881,calls/second,milliseconds
1732997656,3889,94.056281,0.121879,0.001352,2.933181,0.020780,0.025276,0.070208,0.128961,0.412806,91.356939,12.545246,5.240775,286.136629,557.318053,calls/second,milliseconds
1732997661,3889,94.056281,0.121879,0.001352,2.933181,0.020780,0.025276,0.070208,0.128961,0.412806,91.356939,12.345909,4.436220,276.755955,551.159906,calls/second,milliseconds
1732997666,3889,94.056281,0.121879,0.001352,2.933181,0.020780,0.025276,0.070208,0.128961,0.412806,91.356939,12.153027,4.081520,272.181581,548.106396,calls/second,milliseconds
1732997671,3889,94.056281,0.121879,0.001352,2.933181,0.020780,0.025276,0.070208,0.128961,0.412806,91.356939,11.965863,3.755180,267.682815,545.069803,calls/second,milliseconds
1732997676,3889,94.056281,0.121879,0.001352,2.933181,0.020780,0.025276,0.070208,0.128961,0.412806,91.356939,11.784682,3.454932,263.258408,542.050034,calls/second,milliseconds
