t,value
1732997351,15890
1732997356,0
1732997361,0
1732997366,0
1732997371,0
1732997376,0
1732997381,0
1732997386,0
1732997391,0
1732997396,0
1732997401,0
1732997406,0
1732997411,0
1732997416,0
1732997421,0
1732997426,0
1732997431,0
1732997436,0
1732997441,0
1732997446,0
1732997451,0
1732997456,0
1732997461,0
1732997466,0
1732997471,0
1732997476,0
1732997481,0
1732997486,0
1732997491,0
1732997496,0
1732997501,0
1732997506,0
1732997511,0
1732997516,0
1732997521,0
1732997526,0
1732997531,0
1732997536,0
1732997541,0
1732997546,0
1732997551,0
1732997556,0
1732997561,0
1732997566,0
1732997571,0
1732997576,0
1732997581,0
1732997586,0
1732997591,0
1732997596,0
1732997601,0
1732997606,0
1732997611,0
1732997616,0
1732997621,0
1732997626,0
1732997631,0
1732997636,0
1732997641,0
1732997646,0
1732997651,0
1732997656,0
1732997661,0
1732997666,0
1732997671,0
1732997676,0
1732997681,0
1732997686,0
1732997691,0
1732997696,0
1732997701,0
1732997706,0
