t,count
1732997351,855973
1732997356,855973
1732997361,855973
1732997366,855973
1732997371,855973
1732997376,855973
1732997381,855973
1732997386,855973
1732997391,855973
1732997396,855973
1732997401,855973
1732997406,855973
1732997411,855973
1732997416,855973
1732997421,855973
1732997426,855973
1732997431,855973
1732997436,855973
1732997441,855973
1732997446,855973
1732997451,855973
1732997456,855973
1732997461,855973
1732997466,855973
1732997471,855973
1732997476,855973
1732997481,855973
1732997486,855973
1732997491,855973
1732997496,855973
1732997501,855973
1732997506,855973
1732997511,855973
1732997516,855973
1732997521,855973
1732997526,855973
1732997531,855973
1732997536,855973
1732997541,855973
1732997546,855973
1732997551,855973
1732997556,855973
1732997561,855973
1732997566,855973
1732997571,855973
1732997576,855973
1732997581,855973
1732997586,855973
1732997591,855973
1732997596,855973
1732997601,855973
1732997606,855973
1732997611,855973
1732997616,855973
1732997621,855973
1732997626,855973
1732997631,855973
1732997636,855973
1732997641,855973
1732997646,855973
1732997651,855973
1732997656,855973
1732997661,855973
1732997666,855973
1732997671,855973
1732997676,855973
1732997681,855973
1732997686,855973
1732997691,855973
1732997696,855973
1732997701,855973
1732997706,855973
