t,count,max,mean,min,stddev,p50,p75,p95,p98,p99,p999,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit,duration_unit
1732997351,42739,0.372965,0.002256,0.000861,0.011972,0.001262,0.001691,0.004940,0.008263,0.015795,0.363675,8369.922665,8547.800000,8547.800000,8547.800000,calls/second,milliseconds
1732997356,42739,0.372965,0.002256,0.000861,0.011972,0.001262,0.001691,0.004940,0.008263,0.015795,0.363675,4258.748768,7864.355647,8406.517293,8500.443889,calls/second,milliseconds
1732997361,42739,0.372965,0.002256,0.000861,0.011972,0.001262,0.001691,0.004940,0.008263,0.015795,0.363675,2844.318924,7235.556488,8267.569784,8453.350138,calls/second,milliseconds
1732997366,42739,0.372965,0.002256,0.000861,0.011972,0.001262,0.001691,0.004940,0.008263,0.015795,0.363675,2132.447374,6657.033334,8130.918875,8406.517293,calls/second,milliseconds
1732997371,42739,0.372965,0.002256,0.000861,0.011972,0.001262,0.001691,0.004940,0.008263,0.015795,0.363675,1707.735393,6124.766337,7996.526607,8359.943909,calls/second,milliseconds
1732997376,42739,0.372965,0.002256,0.000861,0.011972,0.001262,0.001691,0.004940,0.008263,0.015795,0.363675,1423.014177,5635.057059,7864.355647,8313.628549,calls/second,milliseconds
1732997381,42739,0.372965,0.002256,0.000861,0.011972,0.001262,0.001691,0.004940,0.008263,0.015795,0.363675,1220.360025,5184.502773,7734.369282,8267.569784,calls/second,milliseconds
1732997386,42739,0.372965,0.002256,0.000861,0.011972,0.001262,0.001691,0.004940,0.008263,0.015795,0.363675,1067.860123,4769.972819,7606.531402,8221.766190,calls/second,milliseconds
1732997391,42739,0.372965,0.002256,0.000861,0.011972,0.001262,0.001691,0.004940,0.008263,0.015795,0.363675,949.575742,4388.586850,7480.806497,8176.216356,calls/second,milliseconds
1732997396,42739,0.372965,0.002256,0.000861,0.011972,0.001262,0.001691,0.004940,0.008263,0.015795,0.363675,854.488638,4037.694820,7357.159641,8130.918875,calls/second,milliseconds
1732997401,42739,0.372965,0.002256,0.000861,0.011972,0.001262,0.001691,0.004940,0.008263,0.015795,0.363675,776.928838,3714.858567,7235.556488,8085.872348,calls/second,milliseconds
1732997406,42739,0.372965,0.002256,0.000861,0.011972,0.001262,0.001691,0.004940,0.008263,0.015795,0.363675,712.197941,3417.834875,7115.963258,8041.075386,calls/second,milliseconds
1732997411,42739,0.372965,0.002256,0.000861,0.011972,0.001262,0.001691,0.004940,0.008263,0.015795,0.363675,657.457799,3144.559887,6998.346731,7996.526607,calls/second,milliseconds
